Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
20	2145.27	16.209	3.19821	12.8744	3.56442	9.04056	0.0153501	104.041	8.56266	10.4689	1.56673	0.393371	0.450469	0.668771	0.530268	18.8069	4.14708	0.417301	0.437816	2.34675	7.87605	43.6991	0.741351	64.9387	0.0616941	0.280551	0.110613	0.0174568	0.258944	0.211414	0.027478	18.8069	43.6991	0.741351	64.9387	0.825278	0.048306	0.000234049	0.000182267	0.00056814	0.00011157	0.000377169	0.108458	0.0173225	0.00118713	0.530268	0.767417	0.437812	0.0174566	0.258942	0.211412	0.00561654	11.3102	0.0210871	1.04694	0.86402	41.4266	2.50427	0.0188631	0.00116951
21	352.503	12.8875	3.5415	9.82883	3.26136	9.97985	0.0325135	91.295	7.2876	4.67514	2.97281	0.304689	0.778067	0.791671	0.558398	15.2288	3.65695	0.127905	0.183681	11.0931	10.688	34.4792	0.14863	63.5442	0.0775946	0.306621	0.100202	0.0916107	0.185164	0.0700781	0.0361045	15.2288	34.4792	0.14863	63.5442	0.958621	0.00477513	0.000147721	3.32389e-05	0.000263398	4.32952e-05	0.000370505	0.020462	0.0145696	0.00104732	0.558398	0.928181	0.183681	0.0916107	0.185164	0.0700781	0.00664047	6.13352	0.0335115	0.874755	0.838559	40.3634	3.23529	0.0156879	0.00101796
22	7135.44	14.8277	1.96366	12.8712	3.87559	6.38642	0.00918333	100.83	8.65199	11.8416	1.45299	0.312296	0.128235	0.650736	0.762096	18.3675	5.04459	0.338471	0.239584	12.7583	9.35012	42.2519	0.420068	57.6562	0.0674413	0.258025	0.156582	0.00484621	0.307995	0.240376	0.0238885	18.3675	42.2519	0.420068	57.6562	0.733509	0.0441025	0.000633009	0.000199438	0.00113287	9.68114e-05	0.000237258	0.210298	0.0152689	0.00125756	0.762096	0.912145	0.239582	0.00484618	0.307993	0.240374	0.00970226	11.0954	0.0217898	1.13885	0.835359	38.8896	2.88356	0.0166852	0.00123414
23	1346.79	11.0991	2.87748	8.61329	4.49235	5.5912	0.0224614	100.244	8.69923	9.82158	1.70253	0.133674	0.320317	0.745561	0.495601	16.3844	3.5233	0.281744	0.447272	12.827	9.87806	39.1994	0.696178	65.3058	0.0900974	0.222601	0.178852	0.0210651	0.379376	0.149448	0.05975	16.3844	39.1994	0.696178	65.3058	0.902941	0.0105493	0.000248015	0.00020069	0.00029322	8.63756e-05	0.000218238	0.0710104	0.0144878	0.00123671	0.495601	0.820551	0.447269	0.0210649	0.379373	0.149447	0.011264	7.29332	0.0490279	0.988626	0.892671	42.3137	2.92409	0.0158573	0.00121096
24	1323.23	15.0584	3.11088	9.23222	4.07429	9.22081	0.0265664	110.141	12.1321	4.68417	2.75792	0.367752	0.797056	0.675145	0.36435	22.0519	2.04857	0.120423	0.162612	6.72367	13.0184	48.4519	0.775778	56.1274	0.0664081	0.245442	0.10845	0.0726341	0.154776	0.11779	0.0365433	22.0519	48.4519	0.775778	56.1274	0.927863	0.0100233	0.000504118	9.78192e-05	0.000647023	8.49339e-05	0.000482925	0.047489	0.0127622	0.00129461	0.36435	0.885517	0.162541	0.0726024	0.154708	0.117738	0.00717496	7.91638	0.0323597	1.18492	1.09945	60.3644	3.36678	0.0142346	0.00125166
25	518.745	13.3541	4.02352	11.8326	4.88774	7.15022	0.0244678	98.7361	8.73121	4.16563	2.20101	0.294703	0.189041	0.68528	0.552305	16.1918	3.60766	0.667013	0.522127	2.83247	7.84504	52.4383	0.650365	58.6329	0.0748834	0.204594	0.139856	0.0219339	0.219593	0.142989	0.0475561	16.1918	52.4383	0.650365	58.6329	0.906015	0.0216692	0.000205143	0.000224133	0.000283411	0.000131381	0.00025891	0.0554932	0.0149717	0.00123747	0.552305	0.673023	0.522124	0.0219337	0.219592	0.142988	0.00959783	9.98044	0.0320064	0.94352	0.854844	37.4095	2.94612	0.0164501	0.00121685
26	529.92	18.8566	3.42647	11.6676	2.94824	10.1775	0.0324403	102.944	10.2009	4.77407	2.74981	0.0855355	0.643707	0.658377	0.550026	16.2131	2.86127	0.270562	0.271291	4.97649	9.65153	58.9664	1.08105	60.922	0.0530318	0.339185	0.098256	0.0811785	0.218947	0.124235	0.0288552	16.2131	58.9664	1.08105	60.922	0.926533	0.0251422	0.000282925	0.00010532	0.000497604	0.0001001	0.000546368	0.0307967	0.0152173	0.0012782	0.550026	0.850663	0.271277	0.0811744	0.218936	0.124229	0.00677739	12.0931	0.0245461	1.20555	1.11699	63.2461	3.72579	0.0168475	0.0012436
27	1497.78	13.0612	3.15061	14.9959	4.3059	10.0379	0.0270207	101.713	9.74966	7.03621	1.98022	0.229904	0.457257	0.681355	0.500781	17.5271	4.17298	0.156135	0.500053	7.95928	9.59971	52.7321	0.985927	67.0299	0.0765626	0.232239	0.0996224	0.0340989	0.264975	0.160914	0.0209305	17.5271	52.7321	0.985927	67.0299	0.906763	0.0301541	0.000176772	0.000176791	0.000317995	9.72347e-05	0.000370431	0.0477212	0.0144262	0.00120976	0.500781	0.897645	0.500039	0.0340979	0.264968	0.160909	0.0065404	14.8905	0.0187881	1.046	0.948477	39.2856	2.81944	0.0159183	0.00118547
28	1581.69	16.0685	3.3584	12.7178	2.27369	11.1348	0.0177403	105.803	10.2285	7.45908	2.37058	0.546198	0.647489	0.761189	0.460593	21.9705	3.9864	0.529517	0.318729	8.35398	10.0247	48.8654	0.988771	50.8818	0.0622336	0.439814	0.0898085	0.0299851	0.145715	0.100739	0.0237158	21.9705	48.8654	0.988771	50.8818	0.866029	0.0425953	0.000195396	9.14032e-05	0.000729258	0.000164379	0.000502748	0.075964	0.0141546	0.00106701	0.460593	0.663317	0.318707	0.0299831	0.145705	0.100733	0.00466925	12.6408	0.0157311	1.13094	0.979427	48.9195	2.59563	0.0155402	0.00104301
29	961.196	7.12502	3.97069	14.7408	4.52547	9.19938	0.023559	108.55	10.6367	6.71205	1.76934	0.160478	0.964804	0.622447	0.293944	18.154	2.71061	0.0882123	0.214032	5.17484	10.9932	51.8003	0.710005	68.5027	0.14035	0.220972	0.108703	0.0751136	0.295341	0.213386	0.029281	18.154	51.8003	0.710005	68.5027	0.931688	0.0083041	0.000548752	0.000149395	0.000590428	6.21789e-05	0.000476899	0.0452167	0.0127993	0.00107132	0.293944	0.897624	0.214005	0.075104	0.295303	0.213359	0.00607085	11.7226	0.0262834	1.31753	1.22753	61.5682	2.7061	0.0141303	0.00104173
30	2158.35	16.1261	2.76409	12.4676	2.2819	5.90051	0.00719284	102.848	10.2294	10.8168	2.26409	0.45906	0.320998	0.656626	0.547179	18.3385	3.40933	0.417466	0.151283	12.0811	11.7305	48.3023	0.457864	52.5616	0.0620113	0.438231	0.169477	0.0105407	0.156882	0.151661	0.0375733	18.3385	48.3023	0.457864	52.5616	0.720238	0.0288885	0.000584461	0.000104171	0.00149471	0.000152228	0.000231815	0.235722	0.0133879	0.00123409	0.547179	0.77746	0.151275	0.0105402	0.156874	0.151653	0.010208	9.40692	0.0292118	1.29556	0.933113	43.8365	2.78075	0.0146531	0.00120485
