Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
20	3511.79	14.2998	3.38417	13.1191	3.91893	10.7739	0.00693631	122.048	9.6165	10.7348	2.90581	0.539212	0.904914	0.682339	0.481983	17.1796	4.97339	0.56207	0.297217	4.2307	5.32003	54.292	0.903299	46.0514	0.069931	0.255172	0.0928169	0.0575193	0.234819	0.109319	0.0239428	17.1796	54.292	0.903299	46.0514	0.78979	0.111038	0.00115195	0.000486942	0.000911938	0.000167351	0.00098887	0.0849083	0.00969207	0.000207349	0.481983	0.663501	0.297158	0.0575078	0.234772	0.109298	0.00138541	12.4619	0.0158861	1.23485	0.975271	178.181	2.66908	0.0106656	0.000200034
21	293.422	19.0897	3.45662	14.6284	3.28042	10.602	0.0113583	117.126	12.4695	5.05853	1.09124	0.144025	0.747456	0.879569	0.528844	16.2042	3.29253	0.289281	0.200728	12.6302	3.18529	39.9609	0.794667	52.7983	0.0523843	0.304839	0.0943218	0.129966	0.806027	0.110362	0.0222878	16.2042	39.9609	0.794667	52.7983	0.942124	0.0330619	0.000430131	0.00010785	0.000504119	3.07886e-05	0.000949581	0.0137208	0.00878123	0.000187889	0.528844	0.831695	0.200539	0.129844	0.805268	0.110258	0.00170567	13.2132	0.0185366	1.04669	0.986115	176.777	3.14239	0.00908505	0.000182723
22	657.373	7.10174	4.05848	14.8122	3.48949	13.2718	0.0141612	121.402	10.9337	3.90212	1.06956	0.166046	0.648565	0.707868	0.321962	18.7913	2.59998	0.157306	0.229782	12.4488	8.78794	36.2076	0.752817	54.8811	0.140811	0.286575	0.0753477	0.117654	0.661831	0.273133	0.020645	18.7913	36.2076	0.752817	54.8811	0.957468	0.0155385	0.00045444	0.00013544	0.000556577	3.45587e-05	0.00110805	0.01681	0.00764861	0.000225431	0.321962	0.83671	0.229662	0.117592	0.661485	0.27299	0.00172681	12.3297	0.0172738	1.07072	1.02518	167.092	3.61278	0.0081794	0.000208813
23	1236.84	7.32104	2.55822	15.5324	2.97286	7.49679	0.00648285	119.397	9.11129	3.76325	2.41571	0.155402	0.491106	0.693941	0.4538	16.4377	4.69257	0.0239064	0.179635	3.73665	7.52246	36.0454	0.864873	100.754	0.136593	0.336376	0.13339	0.0905596	0.287262	0.126695	0.0219697	16.4377	36.0454	0.864873	100.754	0.931732	0.0149835	0.000642178	0.000140594	0.000769212	9.32403e-05	0.000668413	0.0405591	0.010553	0.000215189	0.4538	0.981289	0.179618	0.0905512	0.287235	0.126684	0.00192216	13.7133	0.0215586	1.19729	1.11556	180.672	2.3686	0.0111827	0.000205785
24	287.806	8.64337	3.42812	16.8311	3.45829	5.92471	0.00943165	123.491	10.0213	3.5589	1.16736	0.120366	0.64534	0.840585	0.445406	17.5847	2.88401	0.350505	0.0962558	4.95531	8.25912	45.9355	0.716361	59.5039	0.115696	0.28916	0.168785	0.152424	0.720073	0.13656	0.0343777	17.5847	45.9355	0.716361	59.5039	0.945329	0.00807758	0.000853546	9.08606e-05	0.000652681	2.66329e-05	0.000645775	0.0336373	0.0103533	0.000299669	0.445406	0.75316	0.0962246	0.152375	0.71984	0.136516	0.00318223	14.1835	0.0258919	1.14574	1.0831	218.695	3.60557	0.0108199	0.000283498
25	2044.73	12.3103	2.23438	19.4611	4.02853	7.23227	0.00786067	121.182	10.6845	5.85576	1.35808	0.345622	0.955959	0.794194	0.582982	16.7796	2.94846	0.26706	0.154085	10.8152	9.54632	47.7251	1.16355	52.6472	0.0812328	0.24823	0.138269	0.129653	0.584792	0.151542	0.015875	16.7796	47.7251	1.16355	52.6472	0.899623	0.0469882	0.00125797	0.000228959	0.000741388	5.00143e-05	0.000842472	0.0406068	0.00963686	0.000209446	0.582982	0.865797	0.154019	0.129597	0.58454	0.151477	0.00207518	20.7884	0.0137446	1.19472	1.07479	226.487	3.108	0.00969434	0.000193432
26	231.71	15.4744	3.57542	14.0123	5.21682	5.96188	0.0124637	128.672	11.0712	2.08693	2.08591	0.211053	0.925445	0.726377	0.391002	16.7741	6.93386	0.0917435	0.183487	5.49863	9.51675	49.0519	0.936604	66.865	0.0646229	0.191688	0.167732	0.32211	0.34823	0.131177	0.0427991	16.7741	49.0519	0.936604	66.865	0.953277	0.0143314	0.00102673	0.00023018	0.000304951	6.97891e-05	0.00064197	0.0206072	0.00911067	0.000249021	0.391002	0.917456	0.183284	0.321754	0.347844	0.131031	0.00317946	13.4713	0.0392663	1.23991	1.18198	216.97	3.29879	0.00949082	0.000231277
27	726.945	14.7253	3.65633	14.3369	4.6149	6.49196	0.00849677	125.863	10.3545	4.01781	1.46726	0.0202386	0.84421	0.636619	0.294832	16.5197	2.26606	0.0861928	0.198198	7.57112	9.71905	39.6997	0.999816	92.2235	0.0679103	0.216689	0.154037	0.133764	0.433883	0.24766	0.0392839	16.5197	39.6997	0.999816	92.2235	0.936162	0.0191886	0.00109245	0.00026975	0.000724071	8.00281e-05	0.000714501	0.0327643	0.00908021	0.000267778	0.294832	0.90008	0.198093	0.133694	0.433654	0.247529	0.00266986	13.8481	0.0353586	1.38863	1.29998	217.856	2.978	0.00940767	0.000251232
28	1599.45	7.48931	2.83356	16.9174	3.46758	6.20157	0.00625977	122.178	10.0946	6.38023	2.62355	0.395688	0.590532	0.708333	0.463898	17.4258	6.93535	0.270366	0.246611	10.0264	12.0465	52.8638	0.832349	63.6066	0.133524	0.288386	0.161249	0.0655609	0.26999	0.111173	0.0270083	17.4258	52.8638	0.832349	63.6066	0.863683	0.03769	0.00126156	0.000412707	0.000912003	0.000182011	0.00061164	0.0850396	0.009691	0.000254416	0.463898	0.812479	0.246537	0.0655411	0.269909	0.111139	0.0026142	15.3969	0.0219437	1.30301	1.12539	194.557	2.6613	0.0100002	0.000236627
29	2943.92	7.986	2.97693	7.42713	4.30811	10.8496	0.0081397	116.249	8.20041	4.91335	1.23292	0.455702	0.518451	0.805229	0.43761	15.0287	3.61311	0.219497	0.378526	5.09282	4.63684	31.0735	0.924659	73.0869	0.125219	0.23212	0.0921693	0.0849668	0.653107	0.157975	0.0369431	15.0287	31.0735	0.924659	73.0869	0.909668	0.0306788	0.000863153	0.000525687	0.000617128	8.19498e-05	0.00113736	0.0454906	0.0106761	0.0001835	0.43761	0.834103	0.378517	0.0849649	0.653093	0.157972	0.00126141	7.11243	0.0308144	1.09197	0.993333	205.12	2.77816	0.0117297	0.000176844
30	2334.18	11.0631	2.992	9.45475	3.49308	6.80893	0.00501955	121.002	10.0361	7.60288	1.36385	0.318701	0.520561	0.629878	0.475289	17.3701	5.36501	0.503503	0.194901	9.68697	7.97165	43.1271	0.837271	73.8124	0.0903906	0.28628	0.146866	0.0431271	0.461838	0.27138	0.0464764	17.3701	43.1271	0.837271	73.8124	0.861575	0.0311299	0.00144113	0.000348708	0.0013978	9.14461e-05	0.000640335	0.0943633	0.00893587	0.000248523	0.475289	0.687618	0.194851	0.043116	0.46172	0.271311	0.00245374	8.64745	0.031958	1.28078	1.10349	185.993	2.80357	0.00927218	0.000236503
31	1235.83	12.1264	3.78281	14.5356	3.10284	6.72403	0.00746397	123.819	12.8903	9.75038	2.43527	0.443492	0.619609	0.719387	0.463267	15.6183	1.60745	0.676087	0.351869	13.3414	11.649	49.4187	0.902635	53.9914	0.0824647	0.322285	0.14872	0.045715	0.295403	0.115229	0.0387036	15.6183	49.4187	0.902635	53.9914	0.82633	0.0733263	0.000822247	0.000444599	0.00076156	0.000194896	0.000607632	0.0874394	0.00921226	0.00027969	0.463267	0.594392	0.351171	0.0456243	0.294817	0.115	0.00279269	13.776	0.0230051	1.202	0.993249	178.476	3.24538	0.00963568	0.000259988
32	809.447	11.5404	2.53546	8.14681	2.47732	5.99818	0.00605146	123.6	9.26648	4.29368	2.41717	0.128007	0.664749	0.777151	0.473628	17.1253	3.50628	0.160527	0.157463	4.17138	6.61578	37.3628	1.11178	84.674	0.0866521	0.403662	0.166717	0.120319	0.321513	0.0921942	0.0518859	17.1253	37.3628	1.11178	84.674	0.932031	0.0121877	0.000814365	0.000152157	0.000909639	0.000121207	0.000761729	0.0424912	0.0104785	0.000213775	0.473628	0.88695	0.157436	0.120298	0.321458	0.0921785	0.00214908	8.62615	0.0460202	1.27301	1.18648	263.509	2.71044	0.0110234	0.000203777
33	841.896	11.0621	3.08016	13.479	3.59781	8.23232	0.00759403	118.827	8.70025	7.23895	1.25508	0.0438255	0.825425	0.76737	0.395799	18.0705	6.07601	0.0900918	0.222096	4.72342	5.04384	34.0938	0.772326	74.7108	0.0903987	0.277947	0.121472	0.0874998	0.611411	0.185351	0.0277583	18.0705	34.0938	0.772326	74.7108	0.932536	0.0207355	0.000648956	0.000185258	0.000797439	6.12486e-05	0.000823526	0.0331099	0.0112173	0.00024131	0.395799	0.91989	0.222084	0.0874949	0.611377	0.18534	0.00188821	11.6248	0.0255346	1.1399	1.063	202.742	2.90923	0.0119583	0.000233598
34	771.042	11.3987	3.09347	15.3198	4.65285	9.59216	0.00842875	118.4	11.5223	2.81547	2.75855	0.556241	0.63424	0.807846	0.550807	20.2806	2.08428	0.343508	0.228974	13.0563	2.57779	58.9223	0.895084	59.7011	0.0877293	0.214922	0.104252	0.181983	0.292852	0.0696576	0.0210512	20.2806	58.9223	0.895084	59.7011	0.889527	0.0595725	0.00155408	0.000460948	0.000492596	0.000116578	0.00104269	0.0357694	0.00967484	0.000145647	0.550807	0.814763	0.228838	0.181875	0.292678	0.0696163	0.00131816	14.5978	0.0171517	1.32965	1.18276	210.111	2.57286	0.00980063	0.000142162
35	4553.98	7.91212	3.80026	15.0982	2.90493	7.86979	0.00263903	116.673	9.62521	11.9614	1.2308	0.472452	0.137653	0.751398	0.334282	13.5763	6.21324	0.10457	0.202852	2.06731	8.43745	54.9022	0.407132	74.0513	0.126388	0.344242	0.127068	0.00864716	0.610496	0.201984	0.0319834	13.5763	54.9022	0.407132	74.0513	0.683882	0.0547347	0.00240295	0.000611358	0.00304714	0.000135171	0.000805266	0.241893	0.0109875	0.000207679	0.334282	0.891736	0.202829	0.00864617	0.610426	0.201961	0.00167206	9.13942	0.0285208	1.58033	1.08076	209.814	2.50372	0.0119463	0.000196569
36	498.256	17.367	3.58523	16.8334	4.91312	9.41341	0.00890916	110.818	8.71449	8.65538	1.72406	0.36357	0.71653	0.728551	0.428978	19.9401	5.47939	0.0851612	0.511954	3.58138	4.63959	24.4758	0.771596	70.5588	0.0575805	0.203537	0.106231	0.0603126	0.422579	0.157448	0.0226255	19.9401	24.4758	0.771596	70.5588	0.851519	0.0998943	0.000536985	0.000563228	0.000432876	0.000127042	0.00078286	0.0344774	0.0109075	0.000204336	0.428978	0.93046	0.511942	0.0603113	0.422569	0.157444	0.00175003	14.6379	0.0210521	1.08947	0.927707	155.428	2.72668	0.0118002	0.000197886
37	802.062	18.0004	3.3186	17.2347	3.97596	5.89562	0.00455666	115.104	9.48531	8.85104	1.39175	0.107771	0.676365	0.634425	0.446606	13.6621	6.07404	0.286582	0.264974	8.48388	8.17142	46.4175	0.733687	82.807	0.0555543	0.251512	0.169617	0.0484805	0.455847	0.262673	0.0326604	13.6621	46.4175	0.733687	82.807	0.872932	0.0613839	0.00114173	0.000411511	0.00109105	0.000125371	0.000589852	0.0522179	0.0101021	0.000192016	0.446606	0.793733	0.264951	0.0484764	0.455808	0.262651	0.00236418	14.6958	0.0259237	1.32354	1.15536	201.098	2.44529	0.0104634	0.000181205
38	435.21	9.8935	3.65416	15.6967	3.63648	8.36838	0.00897163	122.677	11.6831	5.67651	2.87794	0.142041	0.647705	0.7443	0.361456	21.3196	3.8486	0.187376	0.375103	6.76638	8.01905	42.8326	0.779305	48.8761	0.101076	0.274991	0.119497	0.0849266	0.258622	0.0888483	0.0278188	21.3196	42.8326	0.779305	48.8761	0.927612	0.027641	0.000392829	0.00023528	0.000461211	0.00016142	0.000680995	0.0328783	0.00971157	0.000239694	0.361456	0.8264	0.374748	0.0848462	0.258377	0.0887641	0.00202446	13.4847	0.0229894	1.04422	0.96863	158.093	2.72282	0.0103645	0.000228516
