Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
21	289.551	8.80708	3.52799	17.2198	3.05887	5.66025	0.00845831	130.81	12.5488	7.01659	2.5873	0.43741	0.838573	0.242624	20.8597	4.65924	0.287321	0.183537	3.71377	13.8054	38.8941	1.09429	67.5257	0.113545	0.326918	0.176671	0.0522761	0.324111	0.0623921	0.0361963	20.8597	38.8941	1.09429	67.5257	0.940459	0.0245002	0.00121785	0.000272536	0.00137675	0.000199935	0.000561239	0.0290124	0.00239314	0.000168537	0.242624	0.6657	0.183001	0.0521234	0.323164	0.0622097	0.00451286	18.4495	0.0240958	1.58747	1.49295	218.352	1.91113	0.00288469	0.000145096
22	3735.39	8.76867	3.91599	13.2385	5.39052	10.7362	0.00607909	137.459	13.8856	10.0067	2.47808	0.338262	0.812109	0.0756976	21.0829	7.0337	0.177102	0.174245	2.29652	12.5423	42.3571	0.996528	52.3875	0.114042	0.185511	0.0931428	0.0274522	0.327717	0.0758212	0.0275519	21.0829	42.3571	0.996528	52.3875	0.926983	0.0206302	0.00118633	0.000246638	0.00145228	0.000105996	0.000576662	0.0486834	0.00205668	0.000163519	0.0756976	0.633116	0.172812	0.0272263	0.325021	0.0751974	0.00176194	13.196	0.0174436	1.58186	1.46635	127.648	1.17908	0.00270847	0.000153121
23	1424.69	15.378	2.86007	11.5729	2.83477	6.55262	0.00610786	123.735	12.203	10.6244	2.71533	0.343846	0.776161	0.155145	21.0259	5.24913	0.0767798	0.313983	3.70131	13.2243	27.1681	1.0106	75.8324	0.065028	0.352762	0.152611	0.0251195	0.285844	0.0824353	0.0377155	21.0259	27.1681	1.0106	75.8324	0.930812	0.0266062	0.00053237	0.000243038	0.000857942	0.000209769	0.000412072	0.0386505	0.00235267	0.00011828	0.155145	0.866692	0.313547	0.0250846	0.285447	0.0823207	0.00278946	11.6765	0.0326877	1.47446	1.37245	140.385	1.16512	0.00280929	0.000106665
24	317.288	14.6148	3.76735	9.66559	3.34096	6.43072	0.00588332	121.064	12.6285	11.9727	1.0856	0.485415	0.744255	0.267773	20.6433	4.32274	0.505905	0.197583	5.05408	13.2661	28.7783	0.968626	56.183	0.0684238	0.299315	0.155504	0.0301747	0.68557	0.235579	0.0606105	20.6433	28.7783	0.968626	56.183	0.956816	0.0158714	0.000596707	0.00014659	0.000853002	4.65096e-05	0.000314127	0.023232	0.00220061	9.95816e-05	0.267773	0.513457	0.197306	0.0301323	0.684608	0.235249	0.00337275	9.44354	0.0311209	1.2708	1.21592	97.8746	1.36224	0.00249201	8.75971e-05
25	888.449	13.0377	4.23171	13.6502	4.47225	8.48527	0.00832446	138.932	13.1128	5.26455	1.9173	0.465695	0.821466	0.118209	20.9905	6.08392	0.229345	0.16521	3.81465	13.0256	38.4611	1.03487	56.9937	0.0767006	0.223601	0.117851	0.0726658	0.428449	0.0931174	0.0365352	20.9905	38.4611	1.03487	56.9937	0.952837	0.0137208	0.0006894	0.000134827	0.000698115	5.49037e-05	0.000482754	0.0295524	0.00215475	0.00017037	0.118209	0.612798	0.164062	0.0721608	0.425472	0.0924703	0.00221001	14.0699	0.0223887	1.38584	1.32048	122.085	1.22827	0.00262701	0.000159081
26	226.118	11.8409	4.01346	18.6152	3.02193	5.48633	0.00553453	128.204	12.3559	10.9015	1.1211	0.400931	0.688225	0.281828	21.009	5.31004	0.5104	0.240373	4.75314	12.9949	42.3516	1.07481	59.2998	0.084453	0.330914	0.182271	0.0253113	0.613884	0.278097	0.0392979	21.009	42.3516	1.07481	59.2998	0.917136	0.0336591	0.000767729	0.000242055	0.00101548	8.59401e-05	0.000340476	0.0445428	0.00218899	0.000147702	0.281828	0.523928	0.239853	0.0252565	0.612556	0.277496	0.00400233	19.6153	0.0205893	1.47931	1.35672	131.766	1.35521	0.00256712	0.000134262
27	108.477	8.74906	3.96159	13.9348	4.38357	7.56568	0.00865783	92.2277	6.44748	6.41984	2.39016	0.343522	0.669617	0.309822	18.6604	3.4547	0.177963	0.234713	1.93706	7.52533	34.983	0.618569	58.8741	0.114298	0.228125	0.132176	0.0358308	0.280156	0.138226	0.0375769	18.6604	34.983	0.618569	58.8741	0.974313	0.0131679	0.000766346	0.000235038	0.000861792	0.000118353	0.00037456	0.00786201	0.00229177	6.97684e-05	0.309822	0.811777	0.234713	0.0358308	0.280156	0.138226	0.00367107	10.2664	0.0305041	1.4265	1.38986	111.101	1.8894	0.00267758	6.06842e-05
28	300.841	13.2406	3.43616	15.5183	2.28666	6.7987	0.00947638	116.298	10.8298	5.89678	1.14819	0.340305	0.670648	0.187909	18.6046	5.37969	0.090692	0.325601	5.40715	13.9024	31.8437	0.853174	63.0952	0.0755253	0.437319	0.147087	0.0387033	0.584091	0.286845	0.0325689	18.6046	31.8437	0.853174	63.0952	0.952561	0.0261923	0.000379417	0.000183081	0.000735299	8.79901e-05	0.000416693	0.0173593	0.00213645	0.000116474	0.187909	0.859316	0.325502	0.0386915	0.583914	0.286757	0.00399045	13.668	0.027987	1.38882	1.32293	133.074	1.67106	0.00253159	9.88807e-05
29	449.868	8.43366	3.79249	8.99558	4.14382	6.53143	0.00935602	128.846	11.1969	3.98374	1.08875	0.576739	0.736972	0.189218	19.871	6.41412	0.242706	0.135759	1.36057	13.2035	33.8695	1.15532	70.2848	0.118572	0.241323	0.153106	0.106694	0.676897	0.241587	0.0645486	19.871	33.8695	1.15532	70.2848	0.970519	0.00446546	0.000737373	0.000115595	0.000580243	2.89271e-05	0.000399669	0.0209716	0.00227933	0.000153868	0.189218	0.667597	0.135594	0.106564	0.676075	0.241294	0.00321677	10.1284	0.0430925	1.45291	1.41007	138.839	1.23785	0.00274952	0.000141237
30	437.001	20.1442	4.04286	7.83016	4.04311	5.58266	0.00520807	122.071	12.4848	11.1163	1.22071	0.266092	0.725935	0.271708	20.4631	3.8655	0.567045	0.19718	4.26484	13.9401	33.8653	1.05636	64.4135	0.0496421	0.247334	0.179126	0.0173768	0.594683	0.224513	0.0924862	20.4631	33.8653	1.05636	64.4135	0.930903	0.0231295	0.00134124	0.000328618	0.00141643	9.5025e-05	0.000364933	0.0402101	0.00232464	0.000130774	0.271708	0.477651	0.196902	0.0173523	0.593844	0.224196	0.00447099	8.15156	0.0441761	1.47191	1.37021	138.575	1.6851	0.00272361	0.00011323
31	725.342	8.23323	3.65449	15.5801	4.32074	7.00569	0.00924782	130.357	13.9325	8.22031	1.39825	0.519972	0.754733	0.134466	20.6351	5.77092	0.155202	0.226218	5.97734	13.8859	31.688	0.997185	70.5249	0.121459	0.231442	0.142741	0.0477403	0.53977	0.17541	0.0334816	20.6351	31.688	0.997185	70.5249	0.95053	0.0196464	0.00103004	0.000298501	0.00101251	9.1302e-05	0.000503168	0.0249735	0.00215629	0.000162874	0.134466	0.732418	0.225078	0.0474998	0.53705	0.174526	0.00372778	15.5421	0.0245225	1.55249	1.47569	153.48	1.73404	0.00257126	0.000143741
