state,muCcrit.2.5.,muCcrit.5.,muCcrit.25.,muCcrit.50.,muCcrit.75.,muCcrit.95.,muCcrit.97.5.,mulambdacrit.2.5.,mulambdacrit.5.,mulambdacrit.25.,mulambdacrit.50.,mulambdacrit.75.,mulambdacrit.95.,mulambdacrit.97.5.,mubothcrit.2.5.,mubothcrit.5.,mubothcrit.25.,mubothcrit.50.,mubothcrit.75.,mubothcrit.95.,mubothcrit.97.5.
OK,1.28319904742882,1.313242013187,1.48292797822856,1.67906663266761,2.00213758710078,2.81787660526663,3.25284221805193,3.32525861428574,3.75829246796874,5.89709303901534,8.32092898383224,13.8184344883478,32.1187307428107,41.6529209390292,1.26816844323396,1.2935195986783,1.43839802512769,1.60428509157142,1.8169268978258,2.34991866073348,2.68587613059831
OR,1.3365250125473,1.40411075358583,1.65837153398074,1.99234363129044,2.50537091732179,3.63984649678973,4.32028394297172,2.34448973842828,2.5829170348951,3.87917244113927,5.93531216349745,8.66887965431455,16.4308235632323,21.4453994626082,1.30758739624035,1.35589233250315,1.54918710584792,1.75410340094162,2.01766637209388,2.61660529126266,2.88032070709194
PA,1.12976819313129,1.168658754233,1.35791029360222,1.57790717043577,2.00772650094132,3.21045188118694,3.54508539466045,1.40444202874695,1.57470593862841,2.43504884744246,3.39296204019253,5.42989901463426,13.983507077925,22.7531167698852,1.10771555605182,1.14514490673409,1.28432350876284,1.44221274477212,1.69034886253182,2.28077196701259,2.52711210189445
RI,1,1,1,1,1,1.39117150709189,1.63606876570702,1,1,1,1,1,2.00143262717065,2.5372394238226,1,1,1,1,1,1.23834517137804,1.3425044950004
SC,1.22184320854966,1.31378031434331,1.63634588664319,2.06841862452711,2.70279043690926,4.63506628726094,4.99844901067188,1.78182674700949,1.98088151026093,2.54166067763061,3.1362026377229,4.09125910497379,7.24935833610049,10.0215948489289,1.19264116126891,1.24406203482897,1.45148820984087,1.66108473908816,1.92476858197107,2.44657837817334,2.66602011494924
SD,1,1,1,1,1.07611903841873,1.47502186929335,1.62879141708798,1,1,1,1,1.12048059604839,1.57610241183526,2.02132305342657,1,1,1,1,1.04408479350777,1.21648489687361,1.30669370741344
TN,1.22934126441549,1.25923685431299,1.50084486128805,1.81614539586593,2.40572673688649,4.01934707537411,4.32015963969859,1.81746049597111,1.96639810624046,2.47605919402774,3.05684863136129,4.148567472087,7.77472603656538,11.0840424896404,1.19725313360157,1.22104404939295,1.3805395367585,1.56261520809938,1.77887279806217,2.18053930842038,2.42408767416468
TX,1.27189397442447,1.31733568403001,1.48810521260942,1.67284934320225,1.93719571029482,2.69308183188338,3.10275790054468,2.66285465875133,2.91892838410792,4.24585707921001,5.74518143546486,8.43015222222584,17.3418807893779,28.7549239113897,1.24760184591919,1.28905628965768,1.43240413042844,1.57181055780568,1.75527946475253,2.10685155216879,2.25532288834835
UT,1.10266523868125,1.13834951233644,1.26309873789,1.40427985421423,1.65779544077749,2.34217104992948,2.69157169966737,1.45415662566334,1.5613578596875,1.8947832919236,2.24054214988745,2.73824704187937,3.72579097217162,5.23975890020234,1.08343043013835,1.11293554570297,1.20686089133137,1.28866668229622,1.41836280861346,1.68887204243333,1.76190420432788
VA,1.03355499988212,1.06261821219357,1.26254044046851,1.50337050161477,1.79169608069317,2.59597614241004,2.80687644500348,1.16860457493758,1.26720007102009,1.91950751984684,2.71196988942858,4.28579141095899,10.2477728439717,13.207057801072,1.02840228544125,1.05814822973837,1.20087905483091,1.3614592649848,1.57246940038833,1.98456591721809,2.13910845364912
VT,1.02685434454303,1.0642332062193,1.21907137341763,1.38994836265307,1.61504720196541,2.26029681673248,2.6853677527068,1.06277133240809,1.15248500707109,1.46477380616583,1.80017352665201,2.34941945534253,4.09110946189266,5.38816957117077,1.02122582991644,1.04804963004545,1.14754623280386,1.23796550338977,1.35522936630322,1.63538864019363,1.71284701984104
WA,1.4529295845546,1.57446713436158,2.04449125650821,2.70823136641682,3.81722466819935,5.6600286925355,6.39628345870495,1,1,1,1,5.02380203763445,Inf,Inf,1.37514400593875,1.43862059637276,1.77228078623055,2.1737962234915,2.87103591539807,5.35792509460859,Inf
WI,1.08754174112507,1.10780202252702,1.25170421053653,1.68340686467502,2.31697512428513,4.1174730592059,4.99657278711905,1.73385640070509,1.83458588357785,2.78656215315758,4.43083043770709,7.27419185888301,24.858204506129,57.8936817154295,1.08623945173138,1.10559097680696,1.22911151038099,1.47370338739213,1.82681158911491,2.7564307755345,3.26724014800347
WV,1.27278917565357,1.32832637226374,1.63822453986785,1.96294167414356,2.54622890854003,4.04682914304551,4.7630997884064,1.88062193081169,2.21220908648677,3.67552075803799,5.63538429326088,9.01405996631186,25.8583681455496,82.2172205139763,1.24350375160334,1.29404523026724,1.51325693146545,1.71200937463803,2.06378321991534,2.79735083989644,3.21152984710431
WY,1.2121570417163,1.27049670418797,1.53682956507348,1.92840698642748,2.53099502008389,4.09918497557156,4.84050769126834,1,1.50582558916464,2.38561791612036,3.42790798614458,5.894758709999,17.7081039988351,Inf,1.17165491883989,1.21754825002094,1.39792631016951,1.60284419807521,1.88843638321533,2.71701353756023,2.85736178932047
