"date","State.Abbr","MobilityMetric","AbbrMobMet","variable","value"
2020-04-10,"VT","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0306417596680392
2020-04-10,"VA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.031594353306893
2020-04-10,"WA","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0189664203638983
2020-04-10,"WV","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0520540700452066
2020-04-10,"WI","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0280780722439503
2020-04-10,"WY","Google_retail_and_recreation","Gglrtlndrc","log10ys",0.0368678573470023
2020-04-10,"AL","Google_transit_stations","Ggltrnstst","log10ys",0.0321261069316877
2020-04-10,"AK","Google_transit_stations","Ggltrnstst","log10ys",0.0297585927787959
2020-04-10,"AZ","Google_transit_stations","Ggltrnstst","log10ys",0.0311638015225188
2020-04-10,"AR","Google_transit_stations","Ggltrnstst","log10ys",0.0276947696394059
2020-04-10,"CA","Google_transit_stations","Ggltrnstst","log10ys",-0.00415038905372894
2020-04-10,"CO","Google_transit_stations","Ggltrnstst","log10ys",0.011481646485185
2020-04-10,"CT","Google_transit_stations","Ggltrnstst","log10ys",0.0256295691028802
2020-04-10,"DE","Google_transit_stations","Ggltrnstst","log10ys",0.0236704329586001
2020-04-10,"DC","Google_transit_stations","Ggltrnstst","log10ys",0.0202915043885339
2020-04-10,"FL","Google_transit_stations","Ggltrnstst","log10ys",0.012023982764878
2020-04-10,"GA","Google_transit_stations","Ggltrnstst","log10ys",0.00573992545435404
2020-04-10,"HI","Google_transit_stations","Ggltrnstst","log10ys",-0.0131632032319398
2020-04-10,"ID","Google_transit_stations","Ggltrnstst","log10ys",0.0353051405214696
2020-04-10,"IL","Google_transit_stations","Ggltrnstst","log10ys",0.0156467723622718
2020-04-10,"IN","Google_transit_stations","Ggltrnstst","log10ys",0.0331443377959234
2020-04-10,"IA","Google_transit_stations","Ggltrnstst","log10ys",0.0279896251884261
2020-04-10,"KS","Google_transit_stations","Ggltrnstst","log10ys",0.0540314199255866
2020-04-10,"KY","Google_transit_stations","Ggltrnstst","log10ys",0.0263555714700373
2020-04-10,"LA","Google_transit_stations","Ggltrnstst","log10ys",0.0367474444555945
2020-04-10,"ME","Google_transit_stations","Ggltrnstst","log10ys",0.0422040315147257
2020-04-10,"MD","Google_transit_stations","Ggltrnstst","log10ys",0.00803694288851331
2020-04-10,"MA","Google_transit_stations","Ggltrnstst","log10ys",0.0105811114174806
2020-04-10,"MI","Google_transit_stations","Ggltrnstst","log10ys",0.0389658184382284
2020-04-10,"MN","Google_transit_stations","Ggltrnstst","log10ys",0.0132581458507732
2020-04-10,"MS","Google_transit_stations","Ggltrnstst","log10ys",0.0468221407970296
2020-04-10,"MO","Google_transit_stations","Ggltrnstst","log10ys",0.0473342937377187
2020-04-10,"MT","Google_transit_stations","Ggltrnstst","log10ys",0.0392226158993411
