"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"taus","CA", 29.505165830,24.10103620,-1.677467e+01,-9.960949e+00, 2.236933e+01, 2.757571e+01, 4.057142e+01, 6.296369e+01, 6.574960e+01
"taur","CA", 53.227825614,18.68578064, 2.671381e+01, 2.713655e+01, 4.094283e+01, 5.508975e+01, 6.752812e+01, 7.661253e+01, 7.792192e+01
"rmax","CA",  0.354001339, 0.10471927, 2.068404e-01, 2.179550e-01, 2.861712e-01, 3.531894e-01, 4.007155e-01, 5.250462e-01, 5.494852e-01
"treopen","CA",106.802818246,23.96287085, 5.970991e+01, 6.660804e+01, 1.001138e+02, 1.054954e+02, 1.184230e+02, 1.385738e+02, 1.407681e+02
"log10ys","CO", -0.040338802, 0.13580179,-3.737870e-01,-3.130680e-01,-6.210091e-03, 7.735502e-03, 1.268804e-02, 3.092031e-02, 3.403983e-02
"thetamin","CO",  0.397808857, 0.23559357,-8.170232e-04, 2.883488e-02, 2.991163e-01, 4.393559e-01, 4.996471e-01, 7.346018e-01, 7.799586e-01
"tautheta","CO", 17.613671959, 1.48136902, 1.537986e+01, 1.538847e+01, 1.701800e+01, 1.793160e+01, 1.862171e+01, 1.923277e+01, 1.932329e+01
"ntheta","CO",  4.826825559, 1.03040496, 3.625265e+00, 3.652749e+00, 4.170200e+00, 4.799431e+00, 5.174412e+00, 6.610059e+00, 6.893473e+00
"taus","CO", 30.953745708,14.32496392, 1.800831e+01, 1.884483e+01, 2.546378e+01, 2.704995e+01, 3.014506e+01, 5.908780e+01, 6.482561e+01
"taur","CO", 54.642079940,17.40369999, 2.957603e+01, 3.046100e+01, 4.354394e+01, 5.462378e+01, 7.160756e+01, 7.339692e+01, 7.369520e+01
"rmax","CO",  0.568431869, 0.20730450, 2.521400e-01, 2.769935e-01, 4.784836e-01, 5.576666e-01, 6.528445e-01, 9.019677e-01, 9.460715e-01
"treopen","CO",108.567417667,13.39091432, 9.555595e+01, 9.650786e+01, 1.044381e+02, 1.057797e+02, 1.072445e+02, 1.344763e+02, 1.402055e+02
"log10ys","CT",  0.075847265, 0.20428060,-2.803049e-02,-2.759725e-02,-4.165621e-03, 1.123007e-02, 2.690070e-02, 4.827140e-01, 5.785915e-01
"thetamin","CT",  0.407730058, 0.23854646,-1.855469e-03, 2.558355e-02, 3.270398e-01, 4.489101e-01, 5.233133e-01, 7.313029e-01, 7.733305e-01
"tautheta","CT", 17.229247516, 1.48495614, 1.495841e+01, 1.498201e+01, 1.653281e+01, 1.766036e+01, 1.811339e+01, 1.894022e+01, 1.906589e+01
"ntheta","CT",  3.972344179, 0.91409864, 2.783205e+00, 2.841836e+00, 3.172034e+00, 3.916311e+00, 4.769244e+00, 5.165219e+00, 5.217938e+00
"taus","CT", 36.195330814, 8.89327073, 2.844776e+01, 2.855404e+01, 3.283245e+01, 3.462834e+01, 3.582914e+01, 5.330473e+01, 5.699225e+01
"taur","CT", 56.190087210, 6.20969791, 4.615291e+01, 4.648878e+01, 5.445718e+01, 5.745200e+01, 5.889790e+01, 6.416761e+01, 6.494715e+01
"rmax","CT",  0.546938891, 0.17316971, 2.499453e-01, 2.703392e-01, 4.483848e-01, 5.828646e-01, 6.927071e-01, 7.207343e-01, 7.240777e-01
"treopen","CT",113.424578331, 8.30924783, 1.041483e+02, 1.045104e+02, 1.106616e+02, 1.129844e+02, 1.134780e+02, 1.287212e+02, 1.319507e+02
"log10ys","DC",  0.306159204, 0.83829107,-7.000150e-03,-4.843274e-03, 6.703045e-03, 9.802831e-03, 2.103812e-02, 1.968126e+00, 2.380696e+00
"thetamin","DC",  0.280149471, 0.21932231, 6.717832e-04, 1.038509e-02, 1.643722e-01, 2.806262e-01, 3.535890e-01, 6.510705e-01, 7.135626e-01
