"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"ntheta","CO",  4.888692034, 1.05659308, 3.613649e+00, 3.644516e+00, 4.171991e+00, 4.883132e+00, 5.320684e+00, 6.646411e+00, 6.894358e+00
"taus","CO", 33.890247939,14.06259540, 2.441494e+01, 2.463962e+01, 2.674604e+01, 2.873659e+01, 3.359945e+01, 6.189691e+01, 6.727331e+01
"taur","CO", 40.065557508,14.35184836, 1.977727e+01, 2.078040e+01, 2.628256e+01, 4.447685e+01, 5.124771e+01, 5.547196e+01, 5.595719e+01
"rmax","CO",  0.471584462, 0.12798172, 2.617182e-01, 2.798732e-01, 3.987921e-01, 4.648457e-01, 5.726295e-01, 6.396549e-01, 6.507125e-01
"treopen","CO",111.467147502,13.25809514, 1.017579e+02, 1.021318e+02, 1.052153e+02, 1.069778e+02, 1.099797e+02, 1.379485e+02, 1.426526e+02
"log10ys","CT",  0.075862112, 0.20431341,-2.803320e-02,-2.759969e-02,-4.164938e-03, 1.122976e-02, 2.690843e-02, 4.827968e-01, 5.786866e-01
"thetamin","CT",  0.407539313, 0.23859711,-1.718851e-03, 2.553679e-02, 3.268343e-01, 4.489065e-01, 5.227498e-01, 7.312900e-01, 7.733181e-01
"tautheta","CT", 17.232561022, 1.48286236, 1.495756e+01, 1.498383e+01, 1.653615e+01, 1.766666e+01, 1.811395e+01, 1.893995e+01, 1.906545e+01
"ntheta","CT",  3.969244500, 0.91312920, 2.783001e+00, 2.839684e+00, 3.168950e+00, 3.916260e+00, 4.769696e+00, 5.153877e+00, 5.204040e+00
"taus","CT", 36.547260361, 9.66999449, 2.781882e+01, 2.825890e+01, 3.320345e+01, 3.474735e+01, 3.544034e+01, 5.531589e+01, 5.945803e+01
"taur","CT", 46.999130909,10.17157879, 2.401868e+01, 2.787732e+01, 4.661750e+01, 4.819394e+01, 5.125264e+01, 5.780456e+01, 5.871924e+01
"rmax","CT",  0.460159557, 0.14616040, 2.408723e-01, 2.556795e-01, 3.655910e-01, 4.504083e-01, 5.645970e-01, 6.586105e-01, 6.657678e-01
"treopen","CT",113.779821383, 9.00317838, 1.054413e+02, 1.054692e+02, 1.105471e+02, 1.127862e+02, 1.134232e+02, 1.307856e+02, 1.344156e+02
"log10ys","DC",  0.306172593, 0.83828622,-7.004684e-03,-4.850254e-03, 6.693571e-03, 9.896159e-03, 2.100401e-02, 1.968125e+00, 2.380698e+00
"thetamin","DC",  0.279788948, 0.21916996, 8.567536e-04, 1.053444e-02, 1.644280e-01, 2.809212e-01, 3.523707e-01, 6.507079e-01, 7.138965e-01
"tautheta","DC", 16.257831311, 1.64081914, 1.297767e+01, 1.329121e+01, 1.587156e+01, 1.670610e+01, 1.726354e+01, 1.791899e+01, 1.802098e+01
"ntheta","DC",  4.422731393, 0.49859061, 3.872743e+00, 3.881116e+00, 4.033360e+00, 4.329747e+00, 4.789220e+00, 5.131514e+00, 5.168882e+00
"taus","DC", 47.548814451,14.39159322, 3.146479e+01, 3.188277e+01, 3.626473e+01, 4.463672e+01, 5.597474e+01, 6.921266e+01, 6.979924e+01
"taur","DC", 36.212027433,14.75404037, 1.138988e+01, 1.261312e+01, 2.818647e+01, 4.143255e+01, 4.517711e+01, 5.252821e+01, 5.354420e+01
"rmax","DC",  0.149792642, 0.08000698, 4.989265e-02, 5.480189e-02, 8.752055e-02, 1.392278e-01, 2.029832e-01, 2.731075e-01, 2.845353e-01
"treopen","DC",123.806645762,14.14327984, 1.089030e+02, 1.091030e+02, 1.114172e+02, 1.212021e+02, 1.330088e+02, 1.442884e+02, 1.445686e+02
"log10ys","DE",  0.068300588, 0.18018509,-2.614857e-02,-2.588516e-02,-6.899311e-03, 1.063560e-02, 2.843218e-02, 4.286564e-01, 5.105222e-01
"thetamin","DE",  0.436988915, 0.24576112, 1.897177e-03, 3.481706e-02, 3.381624e-01, 4.918492e-01, 5.595494e-01, 7.587520e-01, 7.951024e-01
"tautheta","DE", 18.115152740, 1.42127311, 1.588513e+01, 1.594235e+01, 1.739485e+01, 1.834858e+01, 1.938920e+01, 1.950503e+01, 1.951572e+01
"ntheta","DE",  4.430192441, 1.05578963, 3.000453e+00, 3.022991e+00, 3.735727e+00, 4.410524e+00, 5.475434e+00, 5.579045e+00, 5.600547e+00
"taus","DE", 38.111389288, 7.98344796, 2.961348e+01, 3.014204e+01, 3.290034e+01, 3.600565e+01, 3.991746e+01, 5.252493e+01, 5.398164e+01
"taur","DE", 49.958855756, 6.50215536, 4.026202e+01, 4.088706e+01, 4.633236e+01, 5.012242e+01, 5.337134e+01, 5.984112e+01, 6.111602e+01
"rmax","DE",  0.540630359, 0.21778446, 2.468286e-01, 2.679147e-01, 3.963298e-01, 5.099482e-01, 6.579391e-01, 8.820738e-01, 9.111833e-01
"treopen","DE",116.226542029, 7.51267430, 1.058256e+02, 1.067182e+02, 1.119991e+02, 1.149352e+02, 1.190015e+02, 1.287433e+02, 1.298668e+02
"log10ys","FL",  0.100251892, 0.28851467,-4.010767e-02,-3.707913e-02,-3.946585e-03, 6.115109e-03, 1.549430e-02, 6.747854e-01, 8.124266e-01
"thetamin","FL",  0.416212553, 0.24554987,-9.732215e-04, 2.937273e-02, 3.172398e-01, 4.648712e-01, 5.250935e-01, 7.567146e-01, 8.025998e-01
"tautheta","FL", 19.417811825, 1.66998583, 1.680632e+01, 1.685890e+01, 1.857716e+01, 1.986409e+01, 2.058519e+01, 2.119889e+01, 2.126630e+01
"ntheta","FL",  4.570619019, 1.01695376, 3.599306e+00, 3.614717e+00, 3.854339e+00, 4.220284e+00, 5.071187e+00, 6.322225e+00, 6.495317e+00
"taus","FL", 31.505215446, 5.81808009, 2.511246e+01, 2.556828e+01, 2.784048e+01, 3.039630e+01, 3.323678e+01, 4.216501e+01, 4.405632e+01
"taur","FL", 44.327469354, 8.85091217, 2.788550e+01, 2.948944e+01, 4.204913e+01, 4.435716e+01, 4.956008e+01, 5.517047e+01, 5.553309e+01
"rmax","FL",  0.464341867, 0.15775403, 2.578464e-01, 2.644463e-01, 3.812479e-01, 4.403766e-01, 5.481246e-01, 7.129484e-01, 7.354955e-01
"treopen","FL",110.923027271, 4.76873775, 1.059936e+02, 1.062252e+02, 1.078367e+02, 1.100504e+02, 1.115757e+02, 1.197490e+02, 1.208626e+02
"log10ys","GA",  0.051223893, 0.15414180,-4.260573e-02,-3.938481e-02,-9.204292e-03, 4.609940e-03, 1.609261e-02, 3.592386e-01, 4.285875e-01
"thetamin","GA",  0.462118706, 0.25015730, 3.154947e-03, 4.010155e-02, 3.966699e-01, 4.995080e-01, 5.937145e-01, 7.770680e-01, 8.067944e-01
"tautheta","GA", 18.768828148, 2.18502067, 1.545758e+01, 1.553537e+01, 1.749334e+01, 1.917532e+01, 2.045683e+01, 2.124588e+01, 2.137142e+01
"ntheta","GA",  4.466300550, 1.40303073, 2.836988e+00, 2.930492e+00, 3.512103e+00, 4.343629e+00, 4.815054e+00, 6.976807e+00, 7.337194e+00
"taus","GA", 29.278251986, 8.79859773, 2.098092e+01, 2.099061e+01, 2.238202e+01, 2.815449e+01, 3.319887e+01, 4.398151e+01, 4.608080e+01
"taur","GA", 39.205312932,11.89860951, 2.761039e+01, 2.777943e+01, 2.941750e+01, 3.519991e+01, 4.760602e+01, 5.839204e+01, 5.999582e+01
"rmax","GA",  0.473118973, 0.18294300, 2.455957e-01, 2.482134e-01, 3.604975e-01, 4.606661e-01, 5.599170e-01, 7.408788e-01, 7.491369e-01
"treopen","GA",108.047080134, 7.53954270, 1.005995e+02, 1.007444e+02, 1.015289e+02, 1.068716e+02, 1.117289e+02, 1.206093e+02, 1.219829e+02
"log10ys","HI",  0.039177215, 0.12668609,-3.122004e-02,-2.996777e-02,-1.588846e-02, 7.507955e-04, 1.219403e-02, 2.923337e-01, 3.497888e-01
"thetamin","HI",  0.365560579, 0.23046373,-7.152786e-07, 2.810071e-02, 2.805378e-01, 3.478790e-01, 4.858283e-01, 7.208599e-01, 7.682639e-01
"tautheta","HI", 20.621478848, 1.55128289, 1.787796e+01, 1.814986e+01, 2.019110e+01, 2.061501e+01, 2.120146e+01, 2.280829e+01, 2.294573e+01
"ntheta","HI",  5.727379283, 1.92200354, 3.922690e+00, 3.924010e+00, 4.283686e+00, 4.956501e+00, 7.255677e+00, 8.764642e+00, 9.058812e+00
"taus","HI", 36.185372636,16.12973536, 2.538623e+01, 2.549066e+01, 2.634333e+01, 3.258662e+01, 3.494160e+01, 6.814793e+01, 7.453734e+01
"taur","HI", 37.250219871,16.74572785, 6.963925e+00, 9.727522e+00, 2.755396e+01, 4.155713e+01, 4.880508e+01, 5.547476e+01, 5.618270e+01
"rmax","HI",  0.270312689, 0.13862019, 7.067929e-02, 7.929148e-02, 1.754348e-01, 2.964267e-01, 3.247264e-01, 4.750988e-01, 4.936124e-01
"treopen","HI",116.806851484,14.98521334, 1.061303e+02, 1.063430e+02, 1.079438e+02, 1.134354e+02, 1.164332e+02, 1.462978e+02, 1.524153e+02
"log10ys","IA", -0.023863996, 0.09172049,-2.452915e-01,-2.069415e-01,-1.472474e-02, 3.759977e-03, 2.281990e-02, 3.364008e-02, 3.483866e-02
"thetamin","IA",  0.505858597, 0.27545101, 1.897177e-03, 3.982741e-02, 3.923274e-01, 5.708092e-01, 6.940604e-01, 8.109087e-01, 8.307137e-01
"tautheta","IA", 18.068877387, 2.24910902, 1.506598e+01, 1.520933e+01, 1.664224e+01, 1.782476e+01, 1.936562e+01, 2.148837e+01, 2.175857e+01
"ntheta","IA",  5.321678532, 2.06698785, 2.679172e+00, 2.922680e+00, 4.162236e+00, 4.942031e+00, 5.934615e+00, 8.995454e+00, 9.536069e+00
"taus","IA", 34.305098852, 9.32361983, 2.447650e+01, 2.485372e+01, 2.814624e+01, 3.315454e+01, 3.609649e+01, 5.142860e+01, 5.398164e+01
"taur","IA", 46.067418971, 9.23766089, 3.551131e+01, 3.575738e+01, 3.838571e+01, 4.530873e+01, 5.277492e+01, 5.776206e+01, 5.777074e+01
"rmax","IA",  0.614666349, 0.25124780, 2.263866e-01, 2.510501e-01, 4.402587e-01, 6.343357e-01, 8.248499e-01, 9.120392e-01, 9.257987e-01
"treopen","IA",112.373976239, 9.01509783, 1.016380e+02, 1.025165e+02, 1.067994e+02, 1.093754e+02, 1.171861e+02, 1.278733e+02, 1.298668e+02
"log10ys","ID", -0.119671553, 0.35137763,-9.868167e-01,-8.192071e-01,-2.687330e-02,-4.353681e-03, 2.121533e-02, 4.043558e-02, 4.152386e-02
"thetamin","ID",  0.487639429, 0.26109759, 1.897177e-03, 4.415524e-02, 3.963580e-01, 5.264931e-01, 6.529204e-01, 7.979301e-01, 8.189008e-01
"tautheta","ID", 20.271902816, 2.17761568, 1.588513e+01, 1.631330e+01, 1.961565e+01, 2.097693e+01, 2.175128e+01, 2.226371e+01, 2.233233e+01
"ntheta","ID",  3.815016058, 0.78788051, 2.791964e+00, 2.849273e+00, 3.508101e+00, 3.847010e+00, 3.894183e+00, 5.203453e+00, 5.477675e+00
"taus","ID", 25.493338468,15.55183855, 5.826125e+00, 6.458944e+00, 1.619573e+01, 2.452388e+01, 3.162188e+01, 5.110773e+01, 5.398164e+01
"taur","ID", 45.637086896,16.33954311, 2.435719e+01, 2.541311e+01, 3.306966e+01, 4.442930e+01, 5.602335e+01, 6.793236e+01, 6.811486e+01
"rmax","ID",  0.749860455, 0.26743893, 3.454335e-01, 3.492637e-01, 5.799386e-01, 8.555851e-01, 9.355493e-01, 1.006310e+00, 1.006513e+00
"treopen","ID",105.765241284,13.81637512, 8.751444e+01, 8.819134e+01, 9.758558e+01, 1.048560e+02, 1.118414e+02, 1.278438e+02, 1.298668e+02
"log10ys","IL",  0.055985589, 0.14864090,-3.037752e-02,-2.787229e-02,-4.268864e-04, 8.700902e-03, 2.073144e-02, 3.532143e-01, 4.205053e-01
"thetamin","IL",  0.416203104, 0.24503619,-1.412272e-03, 2.554567e-02, 3.181926e-01, 4.653086e-01, 5.268785e-01, 7.455346e-01, 7.785068e-01
"tautheta","IL", 17.382649419, 1.49441448, 1.503065e+01, 1.509830e+01, 1.666902e+01, 1.757978e+01, 1.860263e+01, 1.900771e+01, 1.906163e+01
"ntheta","IL",  5.009851411, 1.23149180, 2.872820e+00, 3.024218e+00, 4.470462e+00, 5.086679e+00, 6.005339e+00, 6.407332e+00, 6.456778e+00
"taus","IL", 36.215837065,14.87480451, 2.520602e+01, 2.584318e+01, 2.951231e+01, 3.127651e+01, 3.556002e+01, 6.567157e+01, 7.196193e+01
"taur","IL", 50.105483263,14.45885905, 1.787854e+01, 2.242057e+01, 4.867252e+01, 5.374690e+01, 5.844787e+01, 6.289716e+01, 6.355342e+01
"rmax","IL",  0.400814522, 0.15053031, 2.434736e-01, 2.438686e-01, 2.790189e-01, 3.643139e-01, 5.104751e-01, 6.191082e-01, 6.256002e-01
"treopen","IL",113.598486485,14.29807713, 1.027299e+02, 1.031078e+02, 1.060844e+02, 1.090334e+02, 1.143905e+02, 1.417266e+02, 1.473792e+02
"log10ys","IN",  0.043625001, 0.08099956,-9.309560e-03,-6.806949e-03, 6.154248e-03, 1.083231e-02, 3.827857e-02, 2.059804e-01, 2.382863e-01
"thetamin","IN",  0.473586838, 0.26208718,-2.007981e-03, 3.396053e-02, 3.729582e-01, 5.237385e-01, 6.442536e-01, 7.813250e-01, 8.051012e-01
"tautheta","IN", 18.516629750, 2.40951394, 1.507129e+01, 1.520152e+01, 1.689028e+01, 1.873368e+01, 2.046037e+01, 2.126762e+01, 2.135917e+01
"ntheta","IN",  4.035042002, 0.90272774, 2.522055e+00, 2.600449e+00, 3.639472e+00, 4.221056e+00, 4.613492e+00, 5.102379e+00, 5.182534e+00
"taus","IN", 30.514216034, 8.41982343, 2.391326e+01, 2.392353e+01, 2.498879e+01, 2.793703e+01, 3.242871e+01, 4.651586e+01, 4.919359e+01
"taur","IN", 47.416369530, 7.80662082, 3.788761e+01, 3.803226e+01, 4.044681e+01, 4.757789e+01, 5.296963e+01, 5.814019e+01, 5.859634e+01
"rmax","IN",  0.651959783, 0.17735854, 3.579885e-01, 3.887018e-01, 5.349350e-01, 6.445770e-01, 8.288849e-01, 8.378902e-01, 8.388405e-01
"treopen","IN",109.030845784, 7.36319032, 1.014799e+02, 1.019644e+02, 1.053124e+02, 1.060728e+02, 1.107049e+02, 1.226875e+02, 1.242649e+02
"log10ys","KS", -0.042458248, 0.16389109,-4.406722e-01,-3.706757e-01,-1.674319e-02, 1.004434e-02, 3.039600e-02, 5.397620e-02, 5.403142e-02
"thetamin","KS",  0.479423523, 0.25850242, 6.994112e-04, 4.050635e-02, 3.848168e-01, 5.308418e-01, 6.390307e-01, 7.870336e-01, 8.131479e-01
"tautheta","KS", 18.713902703, 2.02913039, 1.572533e+01, 1.575019e+01, 1.765480e+01, 1.916455e+01, 2.012797e+01, 2.106488e+01, 2.125465e+01
"ntheta","KS",  4.007291844, 1.40094616, 2.947855e+00, 2.958667e+00, 3.152269e+00, 3.420373e+00, 4.262876e+00, 6.693257e+00, 7.056779e+00
"taus","KS", 30.711811911,10.28515423, 2.003303e+01, 2.047497e+01, 2.413153e+01, 2.781032e+01, 3.376570e+01, 4.858310e+01, 5.006068e+01
"taur","KS", 42.915787683,12.13034886, 2.207552e+01, 2.430608e+01, 3.497409e+01, 4.324801e+01, 5.378596e+01, 5.606618e+01, 5.618285e+01
"rmax","KS",  0.622715594, 0.17225748, 3.134630e-01, 3.492993e-01, 5.299697e-01, 6.420132e-01, 7.000508e-01, 8.545297e-01, 8.664309e-01
"treopen","KS",109.425714614, 9.44327674, 9.863626e+01, 9.935244e+01, 1.044248e+02, 1.063922e+02, 1.118881e+02, 1.251936e+02, 1.259281e+02
"log10ys","KY",  0.025469786, 0.03987948,-1.030535e-02,-9.020082e-03, 3.118555e-03, 1.068338e-02, 3.282589e-02, 1.014758e-01, 1.119204e-01
"thetamin","KY",  0.484363814, 0.25721660, 1.580317e-02, 4.901730e-02, 4.025355e-01, 5.539094e-01, 6.275958e-01, 7.874977e-01, 8.209958e-01
"tautheta","KY", 18.300318525, 2.76787025, 1.497984e+01, 1.498081e+01, 1.613918e+01, 1.829395e+01, 2.097739e+01, 2.121835e+01, 2.122215e+01
"ntheta","KY",  3.850338010, 1.24569382, 2.012698e+00, 2.189041e+00, 3.303571e+00, 3.530485e+00, 4.486778e+00, 5.898265e+00, 6.132587e+00
"taus","KY", 33.753691568,12.03246894, 2.409316e+01, 2.446084e+01, 2.663777e+01, 3.072085e+01, 3.469784e+01, 5.695403e+01, 6.146778e+01
"taur","KY", 43.612954832,13.19405960, 2.045538e+01, 2.272871e+01, 3.664031e+01, 4.476644e+01, 5.563115e+01, 5.626408e+01, 5.634991e+01
"rmax","KY",  0.556606786, 0.17764050, 3.013664e-01, 3.202609e-01, 4.297010e-01, 5.380429e-01, 6.884314e-01, 7.987644e-01, 8.079135e-01
"treopen","KY",112.054010093,10.69133355, 1.029494e+02, 1.033596e+02, 1.066461e+02, 1.085203e+02, 1.122502e+02, 1.330309e+02, 1.364532e+02
"log10ys","LA",  0.026659251, 0.06940013,-5.583071e-02,-4.901826e-02,-3.227527e-03, 9.972019e-03, 3.984304e-02, 1.561531e-01, 1.788551e-01
"thetamin","LA",  0.457454185, 0.25228567,-1.326423e-03, 3.581811e-02, 3.726725e-01, 5.199307e-01, 5.598111e-01, 7.836951e-01, 8.158904e-01
"tautheta","LA", 18.266004561, 1.59254683, 1.592586e+01, 1.594636e+01, 1.746757e+01, 1.863216e+01, 1.935548e+01, 2.006476e+01, 2.020297e+01
"ntheta","LA",  5.845582546, 1.88780295, 4.384164e+00, 4.399407e+00, 4.669737e+00, 5.247908e+00, 6.002231e+00, 9.494082e+00, 1.003025e+01
"taus","LA", 30.339948977,10.76843495, 1.959433e+01, 2.000407e+01, 2.340264e+01, 2.776613e+01, 3.335778e+01, 5.003243e+01, 5.287850e+01
"taur","LA", 42.425638808, 9.41877653, 2.675816e+01, 2.818350e+01, 3.674259e+01, 4.250226e+01, 4.934316e+01, 5.482292e+01, 5.565299e+01
"rmax","LA",  0.536715456, 0.13072185, 3.454477e-01, 3.624499e-01, 4.571253e-01, 5.319421e-01, 5.810772e-01, 7.471813e-01, 7.659643e-01
"treopen","LA",108.605953538, 9.80615503, 9.761442e+01, 9.840616e+01, 1.029556e+02, 1.061785e+02, 1.105993e+02, 1.265390e+02, 1.288044e+02
"log10ys","MA",  0.089479239, 0.24749475,-2.688735e-02,-2.443178e-02,-9.980450e-03, 7.549052e-03, 2.048316e-02, 5.834764e-01, 7.002695e-01
"thetamin","MA",  0.357862267, 0.22925404,-8.438087e-04, 2.092809e-02, 2.496417e-01, 3.728379e-01, 4.733158e-01, 6.986733e-01, 7.419383e-01
"tautheta","MA", 16.945375350, 1.54048933, 1.441043e+01, 1.446631e+01, 1.647422e+01, 1.742572e+01, 1.795044e+01, 1.839974e+01, 1.843916e+01
"ntheta","MA",  3.930703996, 0.60940692, 3.139738e+00, 3.184556e+00, 3.439315e+00, 3.872006e+00, 4.322474e+00, 4.850488e+00, 4.913586e+00
"taus","MA", 40.446008375,17.55324151, 2.642390e+01, 2.744888e+01, 3.294207e+01, 3.575850e+01, 3.851362e+01, 7.509445e+01, 8.271286e+01
"taur","MA", 43.153584603,16.00955768, 7.550194e+00, 1.314666e+01, 4.123414e+01, 4.418009e+01, 5.433637e+01, 5.788075e+01, 5.831490e+01
"rmax","MA",  0.334944790, 0.13381058, 2.030593e-01, 2.041773e-01, 2.138971e-01, 3.087297e-01, 4.465793e-01, 5.047007e-01, 5.058185e-01
"treopen","MA",117.391383725,16.79080594, 1.042865e+02, 1.047074e+02, 1.102051e+02, 1.128762e+02, 1.163773e+02, 1.504733e+02, 1.574426e+02
"log10ys","MD",  0.085033873, 0.22455108,-1.723832e-02,-1.495137e-02,-9.068073e-04, 7.089846e-03, 2.127233e-02, 5.328025e-01, 6.396918e-01
"thetamin","MD",  0.407335526, 0.23265836,-3.273421e-05, 3.009084e-02, 3.195071e-01, 4.414615e-01, 5.419670e-01, 7.136112e-01, 7.495094e-01
"tautheta","MD", 17.854837177, 1.76513927, 1.458371e+01, 1.479797e+01, 1.729239e+01, 1.840454e+01, 1.922978e+01, 1.935209e+01, 1.937192e+01
