Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
21	892.871	15.3131	3.62724	13.7514	2.32867	10.6382	0.0101532	101.62	11.3026	4.89075	1.28944	0.380084	0.328446	0.783156	0.30736	17.5369	4.05893	0.418301	0.172782	3.94085	7.49279	33.8636	1.0687	44.9091	0.0653036	0.42943	0.0940009	0.0525941	0.607361	0.168169	0.0247948	17.5369	33.8636	1.0687	44.9091	0.922027	0.0577714	0.000909002	0.000189831	0.00135003	6.26306e-05	0.000835971	0.0129295	0.00265	7.6315e-05	0.30736	0.610495	0.172762	0.0525879	0.607291	0.16815	0.0022621	14.4058	0.0151371	1.49224	1.37589	423.193	6.13445	0.00330059	6.38399e-05
22	626.686	12.5005	4.48849	13.4841	4.7599	9.37147	0.00774243	94.7979	13.2408	10.7934	2.03279	0.148547	0.289155	0.76566	0.318451	15.6163	3.09434	0.367323	0.206498	3.92229	6.44749	37.3951	0.664084	57.1691	0.0799968	0.210088	0.106707	0.020512	0.376655	0.11528	0.0355198	15.6163	37.3951	0.664084	57.1691	0.93351	0.0439992	0.00187794	0.000488475	0.0021028	0.000166884	0.000741216	0.0137789	0.00286402	8.8958e-05	0.318451	0.656835	0.206444	0.0205066	0.376556	0.11525	0.00296923	10.397	0.0233306	1.55634	1.45286	424.916	7.46725	0.00353557	7.62123e-05
23	4931.77	12.729	2.26488	9.41895	4.82709	7.27824	0.00462831	99.2758	11.8728	6.58774	1.56462	0.260506	0.0839352	0.643977	0.430819	18.7882	3.16497	0.216781	0.193468	2.75829	5.42881	52.4486	1.10675	21.6654	0.0785608	0.207164	0.137396	0.00820499	0.411587	0.227546	0.0330382	18.7882	52.4486	1.10675	21.6654	0.886528	0.0653599	0.0035438	0.000849832	0.003095	0.000195016	0.000614768	0.0364527	0.00301174	0.000101302	0.430819	0.833148	0.193439	0.00820378	0.411526	0.227512	0.00384497	9.99125	0.0275257	1.54717	1.37161	437.039	8.40951	0.00366089	8.95084e-05
24	364.294	16.9854	2.96146	12.8602	3.85825	6.54403	0.00869368	94.4676	11.9552	5.50856	1.77127	0.0635543	0.502713	0.625252	0.347221	19.8829	4.2934	0.159686	0.160425	3.15913	7.87101	25.0992	0.867122	51.5825	0.0588741	0.259185	0.152811	0.0570607	0.352996	0.21157	0.0351895	19.8829	25.0992	0.867122	51.5825	0.949573	0.0317687	0.00167351	0.000319716	0.0016379	0.00012888	0.000708911	0.0108009	0.0032068	9.674e-05	0.347221	0.844581	0.160408	0.0570547	0.352959	0.211548	0.0041534	11.7447	0.0297204	1.42958	1.35749	540.87	9.08474	0.00373433	7.68499e-05
25	1115.83	15.7778	3.85102	7.97394	4.30224	9.99711	0.00919272	103.451	12.8657	6.82557	2.29241	0.143816	0.356556	0.783575	0.281152	17.5375	2.83619	0.371137	0.141504	1.92953	4.56585	37.4655	0.956762	41.7561	0.0633802	0.232437	0.100029	0.0409326	0.341813	0.0944094	0.048309	17.5375	37.4655	0.956762	41.7561	0.96038	0.020944	0.00145313	0.000239358	0.00165049	0.00010136	0.000742551	0.0115932	0.00265333	8.60641e-05	0.281152	0.624427	0.141447	0.0409161	0.341675	0.0943713	0.00262068	7.7261	0.0301655	1.50319	1.44363	412.113	6.9931	0.00335207	7.78744e-05
26	2402.17	17.2356	2.62857	14.8468	4.32451	7.29053	0.00546281	101.842	11.4622	6.18135	1.91063	0.088133	0.099716	0.688076	0.394911	20.6707	3.84983	0.379663	0.182921	2.43387	7.92593	47.0871	1.06157	23.2113	0.0580194	0.23124	0.137164	0.0110999	0.36013	0.163257	0.0242844	20.6707	47.0871	1.06157	23.2113	0.89863	0.069392	0.00178557	0.00039964	0.00215118	0.000153468	0.000468612	0.0246512	0.0025684	9.77809e-05	0.394911	0.702758	0.182896	0.0110984	0.360082	0.163235	0.00412727	15.3999	0.0170661	1.45876	1.31088	327.286	6.5081	0.00307772	8.40603e-05
27	2433.89	19.3959	2.98587	9.88053	3.2031	11.2316	0.00762871	97.8345	8.36004	7.97261	2.98562	0.544442	0.348976	0.781502	0.283017	21.211	4.99186	0.240491	0.119242	3.79959	2.79751	34.3545	0.808364	30.4374	0.0515573	0.312198	0.0890345	0.0342078	0.261755	0.0731835	0.026906	21.211	34.3545	0.808364	30.4374	0.913456	0.0518544	0.00176482	0.00023893	0.00170195	9.47993e-05	0.000712658	0.0249755	0.00270649	7.30466e-05	0.283017	0.738186	0.119242	0.0342077	0.261755	0.0731832	0.00205807	8.52295	0.0198616	1.46283	1.33623	328.331	5.75415	0.00328119	6.90429e-05
28	598.916	12.9577	3.34813	17.6105	4.67085	6.7005	0.00620582	94.1807	12.2623	9.63177	2.51058	0.550823	0.637029	0.619918	0.335915	20.5341	3.77413	0.117772	0.25248	4.51505	2.12261	48.4296	0.609013	18.6653	0.0771742	0.214094	0.149243	0.0410003	0.246922	0.151392	0.0283742	20.5341	48.4296	0.609013	18.6653	0.882356	0.0809753	0.00266485	0.000899838	0.00118248	0.000204083	0.000548871	0.0257554	0.00309962	6.8274e-05	0.335915	0.879434	0.252447	0.040995	0.24689	0.151373	0.00297438	13.038	0.0249532	1.47188	1.29872	393.307	6.48315	0.00351073	6.48854e-05
29	447.448	15.6871	4.12614	10.8752	4.37475	5.54027	0.0051515	96.9455	12.8813	7.23074	1.93834	0.0911392	0.131461	0.654025	0.281101	16.834	4.31337	0.352079	0.294122	6.95417	9.38499	30.8229	0.688933	49.64	0.0637466	0.228584	0.180497	0.0118907	0.337415	0.17849	0.0684819	16.834	30.8229	0.688933	49.64	0.941626	0.0333401	0.00132136	0.000550305	0.00124426	0.000210313	0.000402101	0.0182953	0.0028529	7.71721e-05	0.281101	0.63967	0.29405	0.0118878	0.337332	0.178446	0.00402896	8.44323	0.0438058	1.36535	1.28565	350.301	5.18585	0.003239	6.38876e-05
30	2236.21	10.1281	2.96231	13.4702	2.67147	7.61525	0.00638006	103.574	8.97298	8.34709	1.65849	0.436117	0.695325	0.628597	0.190582	18.7954	4.21189	0.103827	0.179513	2.098	6.39733	22.2407	0.738339	49.8107	0.0987352	0.374326	0.131315	0.0523631	0.379018	0.22394	0.0288783	18.7954	22.2407	0.738339	49.8107	0.931551	0.0336403	0.00120462	0.00026355	0.00120621	8.8374e-05	0.000597469	0.0272634	0.00312346	8.11397e-05	0.190582	0.841886	0.179511	0.0523623	0.379012	0.223937	0.00246149	10.6173	0.0243123	1.35359	1.26094	392.318	5.1692	0.00366768	7.25464e-05
