Results of Simulation 1

Time	S	S_C	E	E_C	I_U	I_C	A_U	A_C	R_U	I_T	R_T	F_T	CumInfected	CumPosTest	CumDeath	ThetaFit	HygieneFit	FTraced	lambda	lambda_C	rho_C	delta	c	beta	Rt	Refft	dtCumInfected	dtCumPosTest	dtCumDeath	N_pos	D_pos	p_N_pos	p_D_pos	Tot	NInit	TIsolation	R0	c0	TLatent	TRecover	IFR	T50Testing	TauTesting	TTestingRate	TContactsTestingRate	FAsymp	TestingCoverage	TestSensitivity	ThetaMin	TauTheta	PwrTheta	HygienePwr	FTraced0	TPosTest	TFatalDeath	alpha	kappa	rho	lambda0	lambda0_C	rho0_C	beta0	TauS	rMax	TauR
80	0.998	0.0011579	0.000254366	2.10057e-05	0.000219211	1.08818e-05	9.56766e-05	5.36e-06	0.000244488	1.77366e-05	7.05681e-06	5.26868e-07	0.000566454	8.9661e-06	1.64333e-07	0.705528	0.916492	0.0986169	0.0197234	0.138064	0.0591701	0.00481866	9.17187	0.0281997	2.0606	2.05648	6.8843e-05	3.47067e-06	1.45861e-08	100.649	0.422996	0.961777	0.0956356	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
81	0.997722	0.00135613	0.000261804	2.36795e-05	0.000237234	1.24213e-05	0.000104717	6.42053e-06	0.000278648	2.20433e-05	9.03973e-06	6.18946e-07	0.000636661	1.17377e-05	1.9476e-07	0.646012	0.896521	0.107263	0.0214527	0.150169	0.064358	0.00448889	8.39816	0.0275852	1.81062	1.80649	7.13709e-05	4.29661e-06	1.77641e-08	124.602	0.515158	0.968896	0.114095	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
82	0.99744	0.00156014	0.000264654	2.60905e-05	0.000253648	1.38714e-05	0.000113255	7.55917e-06	0.000315691	2.7034e-05	1.14879e-05	7.25159e-07	0.000708789	1.51804e-05	2.30466e-07	0.589302	0.876162	0.116087	0.0232173	0.162521	0.0696519	0.00420499	7.66093	0.0269588	1.58304	1.57899	7.26862e-05	5.23504e-06	2.16945e-08	151.816	0.629139	0.974329	0.135908	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
83	0.997161	0.00176547	0.000263361	2.81768e-05	0.000267847	1.5154e-05	0.000121027	8.74728e-06	0.000355374	3.26783e-05	1.44683e-05	8.46633e-07	0.00078166	1.93775e-05	2.72369e-07	0.539673	0.857102	0.125	0.025	0.175	0.075	0.0039604	7.01575	0.0263724	1.39067	1.38672	7.28845e-05	6.27364e-06	2.65274e-08	181.936	0.769294	0.978487	0.161301	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
84	0.996887	0.00196987	0.000258949	2.99621e-05	0.000279437	1.62143e-05	0.000127852	9.95773e-06	0.000397368	3.89055e-05	1.80429e-05	9.84228e-07	0.000854278	2.44044e-05	3.21647e-07	0.500325	0.841033	0.133913	0.0267827	0.187479	0.0803481	0.00374954	6.50423	0.0258779	1.24066	1.2368	7.22278e-05	7.39472e-06	3.24337e-08	214.447	0.940577	0.981689	0.190378	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
85	0.996616	0.00217359	0.000252719	3.15413e-05	0.000288277	1.70309e-05	0.000133644	1.11702e-05	0.000441298	4.56138e-05	2.22652e-05	1.13851e-06	0.000925955	3.03253e-05	3.796e-07	0.472504	0.829089	0.142737	0.0285473	0.199831	0.085642	0.00356769	6.14255	0.0255104	1.13301	1.12917	7.1065e-05	8.57719e-06	3.95775e-08	248.738	1.14775	0.984173	0.222961	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
86	0.996346	0.00237878	0.000245925	3.30444e-05	0.000294488	1.76212e-05	0.000138422	1.23748e-05	0.000486777	5.268e-05	2.71771e-05	1.30972e-06	0.000996368	3.71904e-05	4.47563e-07	0.455273	0.821425	0.151383	0.0302766	0.211936	0.0908299	0.00341077	5.91855	0.0252746	1.06145	1.05757	6.97423e-05	9.79915e-06	4.80966e-08	284.175	1.3948	0.98612	0.258545	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
87	0.996073	0.00258784	0.000239475	3.45824e-05	0.000298365	1.80284e-05	0.000142276	1.35709e-05	0.000533444	5.99777e-05	3.28083e-05	1.4978e-06	0.00106549	4.50406e-05	5.26868e-07	0.446115	0.817263	0.159773	0.0319546	0.223682	0.0958639	0.00327532	5.7995	0.0251465	1.01616	1.01217	6.85142e-05	1.10374e-05	5.8093e-08	320.085	1.6847	0.987658	0.296356	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
88	0.995794	0.0028022	0.000233831	3.62153e-05	0.000300329	1.83135e-05	0.000145347	1.47647e-05	0.000580965	6.73807e-05	3.91761e-05	1.70241e-06	0.0011335	5.39096e-05	6.18946e-07	0.442033	0.815387	0.167837	0.0335674	0.234972	0.100702	0.00315836	5.74642	0.0250888	0.987172	0.98302	6.75116e-05	1.22665e-05	6.96206e-08	355.728	2.019	0.98888	0.335437	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
89	0.995511	0.00302163	0.000229046	3.7941e-05	0.000300766	1.85275e-05	0.000147766	1.59632e-05	0.000629098	7.47912e-05	4.62848e-05	1.92304e-06	0.00120064	6.38219e-05	7.25159e-07	0.440545	0.8147	0.175516	0.0351032	0.245722	0.10531	0.00305733	5.72708	0.0250677	0.966848	0.962507	6.67468e-05	1.34565e-05	8.26519e-08	390.238	2.39691	0.989854	0.374698	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
90	0.995223	0.00324479	0.000224953	3.97237e-05	0.000299968	1.87016e-05	0.000149634	1.71704e-05	0.000677667	8.21401e-05	5.41319e-05	2.15936e-06	0.00126709	7.47839e-05	8.46633e-07	0.440114	0.8145	0.182765	0.0365529	0.255871	0.109659	0.00297004	5.72148	0.0250615	0.950684	0.946143	6.61692e-05	1.45758e-05	9.70559e-08	422.698	2.81462	0.990626	0.413027	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
91	0.994935	0.00346936	0.000221357	4.15066e-05	0.000298253	1.88666e-05	0.000151058	1.83879e-05	0.000726489	8.93453e-05	6.27063e-05	2.41062e-06	0.00133303	8.67718e-05	9.84228e-07	0.440018	0.814456	0.189551	0.0379102	0.265371	0.113731	0.0028946	5.72023	0.0250602	0.936629	0.931885	6.57159e-05	1.56001e-05	1.12616e-07	452.404	3.26587	0.991236	0.449481	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
92	0.994647	0.00369316	0.00021808	4.32409e-05	0.000295827	1.90316e-05	0.000152104	1.9613e-05	0.000775443	9.63542e-05	7.19916e-05	2.67623e-06	0.00139856	9.97453e-05	1.13851e-06	0.440002	0.814449	0.195855	0.039171	0.274197	0.117513	0.00282939	5.72003	0.02506	0.923963	0.919017	6.53303e-05	1.65105e-05	1.29059e-07	478.805	3.74272	0.991715	0.483386	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
93	0.994362	0.00391408	0.000214985	4.4886e-05	0.000292851	1.91988e-05	0.000152825	2.08404e-05	0.000824429	0.000103122	8.19667e-05	2.95555e-06	0.00146371	0.000113643	1.30972e-06	0.44	0.814448	0.20167	0.0403339	0.282338	0.121002	0.002773	5.72	0.0250599	0.912474	0.907329	6.49678e-05	1.72984e-05	1.46082e-07	501.654	4.23637	0.992089	0.514349	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
94	0.994083	0.00413006	0.000211986	4.64093e-05	0.000289462	1.93643e-05	0.000153264	2.20621e-05	0.000873361	0.000109608	9.26042e-05	3.24786e-06	0.00152849	0.00012839	1.4978e-06	0.44	0.814448	0.206997	0.0413994	0.289796	0.124198	0.00272423	5.72	0.0250599	0.902082	0.896744	6.45987e-05	1.79638e-05	1.63393e-07	520.95	4.7384	0.99238	0.54225	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
95	0.993811	0.0043395	0.00020903	4.77916e-05	0.000285754	1.9522e-05	0.000153452	2.32697e-05	0.00092217	0.000115782	0.000103875	3.55246e-06	0.00159289	0.0001439	1.70241e-06	0.44	0.814448	0.211848	0.0423696	0.296587	0.127109	0.00268205	5.72	0.0250599	0.892725	0.887199	6.42054e-05	1.85148e-05	1.80718e-07	536.929	5.24083	0.992605	0.567138	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
96	0.993547	0.0045409	0.000206087	4.90192e-05	0.00028181	1.96653e-05	0.000153416	2.44534e-05	0.000970794	0.000121615	0.000115745	3.86859e-06	0.00165688	0.000160086	1.92304e-06	0.44	0.814448	0.216241	0.0432482	0.302737	0.129745	0.00264554	5.72	0.0250599	0.884336	0.87863	6.37766e-05	1.8961e-05	1.97864e-07	549.87	5.73804	0.992778	0.58924	1.00003	1000	14	4	13	4	10	0.01	83	7	7	2	0.295	0.5	0.7	0.44	21	6	0.25	0.25	7	7	0.0714286	0.25	0.1	0.05	0.35	0.15	0.0307692	45	0.53	45
