iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
210	3302.07	7.02228	3.6086	16.2179	4.34813	16.7188	0.0159464	82.537	3.13331	6.40804	2.40461	0.479688	0.681249	0.663991	19.0875	2.38832	0.147231	0.171771	13.372	1.88686	32.3907	0.260506	36.8614	4.86927	8.46582	-4.950402e+01	-1.075495e+03	-1.124999e+03
220	3023.81	16.0905	3.64743	14.6988	4.0188	16.945	0.0145373	82.3563	2.43036	7.3434	1.49669	0.525941	0.765954	0.693339	17.8136	3.65717	0.202122	0.191086	13.9059	2.3796	30.3294	0.478905	29.8906	4.0269	8.44396	-4.795729e+01	-1.072328e+03	-1.120285e+03
230	2887.33	11.1781	3.67327	12.9078	4.0188	17.3835	0.0137842	82.7489	3.22266	7.59876	2.46345	0.561148	0.776554	0.719696	18.7922	4.39003	0.222985	0.161619	10.732	2.1815	34.8634	0.327833	36.8339	4.61183	8.20012	-4.731875e+01	-1.075380e+03	-1.122698e+03
240	2887.33	16.1682	3.71639	18.1033	4.52155	17.1991	0.0140624	81.9383	2.09971	7.72781	2.80449	0.561148	0.73774	0.705872	18.0418	5.46727	0.215207	0.174974	13.1393	1.2203	36.4021	0.466785	39.1968	4.41881	8.63107	-5.075409e+01	-1.070994e+03	-1.121748e+03
250	2714.16	16.7657	3.73892	17.1267	4.5971	16.6585	0.0152673	80.7051	1.50921	8.46896	2.49322	0.587889	0.69249	0.697628	16.3507	4.47238	0.139743	0.217821	13.7277	1.22136	31.9141	0.506256	51.094	6.11563	8.2688	-5.137197e+01	-1.072233e+03	-1.123605e+03
260	2699.87	10.8992	3.62992	14.7562	4.50421	16.2383	0.0128285	83.6258	2.35554	9.02449	1.95447	0.656459	0.712937	0.713873	18.9969	4.44449	0.276812	0.183752	9.60354	1.21001	40.0028	0.667433	47.6282	5.27212	8.33492	-4.959874e+01	-1.070287e+03	-1.119886e+03
270	3102.31	8.81537	3.53446	17.387	4.0911	15.8739	0.0126491	82.7761	2.71386	8.69485	1.25828	0.637496	0.733118	0.700447	19.1949	5.0824	0.297321	0.157181	12.6262	1.3432	35.6369	0.540976	54.741	5.32146	8.08308	-4.902581e+01	-1.067319e+03	-1.116345e+03
280	3016.03	16.5631	3.55124	13.2985	4.6188	15.6702	0.0141425	82.359	2.0434	8.25368	1.70716	0.649785	0.668218	0.700447	19.761	3.29176	0.342452	0.157181	9.60138	1.65413	30.8652	0.514803	36.2834	5.67721	8.09128	-4.770282e+01	-1.069813e+03	-1.117515e+03
290	2977.35	16.9899	3.6427	15.6885	4.62679	15.7112	0.0127098	82.3728	3.18401	7.41099	1.20523	0.574881	0.664261	0.69284	18.9491	4.76321	0.356446	0.138307	11.6565	1.65413	39.0105	0.553913	41.7689	5.04853	8.04627	-4.809802e+01	-1.066878e+03	-1.114976e+03
300	2723.28	9.59012	3.69264	15.9346	4.18728	15.942	0.013283	82.3728	2.88841	7.18255	1.43844	0.550527	0.692686	0.680277	17.8031	3.53231	0.265814	0.143296	12.7155	1.91764	32.4625	0.43131	42.2109	6.01776	8.01702	-4.666822e+01	-1.067137e+03	-1.113805e+03
