iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
1620	802.691	18.4737	4.00639	9.24569	4.93921	6.14675	0.00752318	84.6607	5.50113	10.174	2.66395	0.572681	0.737418	0.570966	19.6798	3.5399	0.823633	0.209084	8.89041	3.94152	24.5312	0.429235	43.7165	8.76593	8.00358	-4.446276e+01	-1.061092e+03	-1.105554e+03
1630	801.287	15.6219	3.99791	9.3615	4.46455	5.97462	0.00672992	83.7453	3.21611	10.2163	1.40359	0.562052	0.640982	0.574272	18.6244	3.35152	0.84937	0.190673	5.0049	4.20849	27.7001	0.353927	51.3964	4.61514	8.18807	-4.388127e+01	-1.061890e+03	-1.105771e+03
1640	765.3	16.3752	3.99791	15.4824	4.51888	5.97317	0.00599202	85.3352	4.00919	11.2322	2.21399	0.590949	0.64316	0.571926	18.5581	3.40278	0.775729	0.175997	3.7483	2.98681	37.9981	0.393727	54.605	6.59081	8.11387	-4.461812e+01	-1.058405e+03	-1.103023e+03
1650	715.349	19.7715	3.99278	10.5742	4.3674	5.97317	0.00752928	85.1747	4.57869	11.7987	1.98629	0.65544	0.770392	0.572478	17.5646	2.66017	0.760581	0.19808	5.67921	3.30874	35.8704	0.529912	50.4771	7.71126	8.01935	-4.535124e+01	-1.055313e+03	-1.100664e+03
1660	648.857	18.6167	4.00712	7.79357	4.21809	5.93814	0.00746184	85.1747	4.68926	11.2652	1.46844	0.569783	0.746981	0.566502	18.0658	4.0935	0.777832	0.195119	9.16584	3.65183	38.7385	0.507669	51.3006	6.01211	8.42565	-4.504266e+01	-1.054790e+03	-1.099832e+03
1670	536.4	19.0816	4.00712	15.5169	3.99066	5.91556	0.00900798	83.2798	3.83635	9.27837	1.88211	0.691409	0.664521	0.573736	17.8717	5.35261	0.79316	0.186452	7.75377	4.80246	34.3165	0.592704	51.6983	4.08223	8.75631	-4.428601e+01	-1.065315e+03	-1.109601e+03
1680	540.145	11.7996	4.01994	18.412	4.10189	6.00556	0.00894672	84.2975	4.63437	9.16982	1.67997	0.724064	0.69533	0.588908	17.1251	4.58389	0.776858	0.206368	10.965	4.26057	32.5012	0.651655	53.6918	7.18665	8.0099	-4.525451e+01	-1.054921e+03	-1.100176e+03
1690	583.596	17.0456	4.01994	9.04474	4.03863	6.02462	0.00772031	84.1043	5.87361	8.86634	2.13853	0.736157	0.698583	0.5947	17.3485	3.50933	0.776858	0.214727	11.2746	4.11551	33.9526	0.497457	49.134	5.27824	8.31002	-4.380313e+01	-1.059552e+03	-1.103355e+03
1700	648.755	8.27208	4.01312	10.9098	4.01054	5.97901	0.00734913	85.0212	6.06524	8.88657	1.78887	0.577661	0.627207	0.590276	17.2455	2.45763	0.792098	0.238351	7.48095	3.81436	37.8088	0.466146	55.9936	4.06476	8.00939	-4.346143e+01	-1.058570e+03	-1.102031e+03
1710	702.893	14.9405	4.02758	9.43754	4.11231	6.10102	0.00731322	84.7813	5.64955	8.9361	1.05434	0.664244	0.676459	0.584054	17.6815	4.43116	0.792098	0.221568	13.7743	5.76089	29.9656	0.475821	53.9677	5.20522	8.87706	-4.437023e+01	-1.062018e+03	-1.106388e+03
1720	661.571	12.2022	4.02758	8.10933	4.27783	5.93041	0.0081813	82.968	5.62954	8.54976	2.81475	0.629178	0.652829	0.58218	18.0322	4.3395	0.806123	0.1962	10.6137	4.86368	35.0235	0.572695	54.9608	5.81593	8.24453	-4.425511e+01	-1.057835e+03	-1.102090e+03
1730	647.309	8.37477	4.04029	13.7569	4.16776	5.9149	0.00693583	84.8257	5.36213	9.52395	2.20052	0.719945	0.607224	0.569995	18.2172	4.82159	0.825406	0.196871	7.95479	5.80552	33.2065	0.658785	49.6559	6.71668	8.06775	-4.442845e+01	-1.058272e+03	-1.102701e+03
1740	643.38	13.0336	4.04764	13.6034	4.14577	6.16223	0.00712989	87.9064	7.66201	10.0171	2.12157	0.663074	0.653658	0.566084	18.6278	3.30136	0.795617	0.186456	2.45138	4.09499	39.8515	0.557455	50.7327	5.14052	8.90248	-4.347169e+01	-1.061048e+03	-1.104520e+03
1750	619.02	11.046	4.03961	13.3012	4.16247	6.03489	0.00724049	86.0034	4.95944	9.86387	2.14533	0.759695	0.607446	0.571834	18.5042	2.75861	0.795617	0.187521	4.57298	2.97479	37.5443	0.581851	47.0289	5.91177	8.11028	-4.422392e+01	-1.053683e+03	-1.097907e+03
1760	619.02	10.8792	4.06084	13.7496	4.15144	6.10593	0.00920443	86.1199	4.15032	9.18595	1.32656	0.731513	0.651894	0.57234	16.9228	3.32006	0.795378	0.17819	6.4878	3.65284	37.2285	0.518097	41.8789	5.05302	8.12505	-4.366303e+01	-1.058883e+03	-1.102546e+03
1770	649.361	14.4299	4.06084	8.79895	4.41071	6.43318	0.00877597	86.1199	4.7648	10.4406	1.45383	0.669102	0.766282	0.581148	16.9228	4.65736	0.759178	0.197383	6.61574	2.01163	34.6051	0.406045	44.9352	6.25181	8.59265	-4.470046e+01	-1.059057e+03	-1.103758e+03
1780	645.839	8.13653	4.0443	9.34166	4.40494	6.25795	0.00877597	87.285	5.32532	10.5005	2.40613	0.681001	0.755255	0.584596	16.6807	5.01741	0.766707	0.208332	3.93656	3.44437	36.8155	0.393046	45.5421	7.63941	8.50011	-4.427398e+01	-1.060546e+03	-1.104820e+03
1790	663.221	11.0806	4.04133	9.95867	4.60253	6.26413	0.0090061	87.386	4.89567	10.887	1.34711	0.689194	0.747355	0.579935	16.7695	5.59261	0.754452	0.218101	4.82074	1.84509	29.3925	0.389811	46.3886	5.89324	8.0282	-4.505663e+01	-1.059131e+03	-1.104187e+03
1800	725.024	11.7011	4.06129	8.99147	4.62439	6.26561	0.0078496	86.6269	5.17978	10.1395	2.52274	0.609957	0.715214	0.58117	16.7833	3.62312	0.718978	0.24449	3.7096	2.32947	32.3743	0.281622	49.5638	6.20411	8.10695	-4.433426e+01	-1.061927e+03	-1.106262e+03
1810	726.352	13.794	4.03554	8.29861	4.53926	6.01995	0.00733412	86.6866	3.82447	11.5943	1.67989	0.53057	0.669737	0.576575	16.6172	2.63852	0.738672	0.268824	2.39568	1.29979	34.5541	0.402806	47.0566	5.59225	8.06496	-4.675269e+01	-1.055942e+03	-1.102695e+03
1820	731.278	18.8095	4.0135	16.4648	4.7457	6.04976	0.00729824	85.1326	4.00754	10.332	1.3235	0.516538	0.658935	0.578349	17.1462	2.82068	0.734365	0.266495	3.70568	1.94225	32.5289	0.523431	43.8762	7.91709	8.08846	-4.520496e+01	-1.057888e+03	-1.103093e+03
1830	861.873	14.6645	4.01257	13.9846	4.66777	5.93512	0.00686123	85.4199	4.18355	10.334	2.03514	0.56816	0.617441	0.577692	16.4381	3.63501	0.754012	0.271782	2.1658	3.3296	34.44	0.548182	43.6477	7.48426	8.34883	-4.488144e+01	-1.059337e+03	-1.104218e+03
1840	893.547	9.56902	3.98965	14.6233	4.48934	6.11366	0.00665767	84.0657	3.69162	11.3297	1.71736	0.56816	0.615567	0.574072	17.1013	4.90448	0.726648	0.290699	6.75323	3.22652	31.4884	0.643233	54.623	4.80148	8.24617	-4.510479e+01	-1.059332e+03	-1.104437e+03
1850	890.404	12.2254	4.04593	8.40251	4.67462	6.22616	0.00712022	84.4934	3.50808	11.7496	1.26524	0.44604	0.611934	0.580774	16.6789	4.68058	0.754086	0.298704	7.94975	2.58437	40.3804	0.609943	44.9506	6.07184	8.35102	-4.742174e+01	-1.055562e+03	-1.102984e+03
1860	811.246	13.3575	4.08846	10.6495	4.59072	6.0303	0.00741008	82.9134	5.45468	9.80366	1.08775	0.398485	0.622642	0.578629	16.7129	3.29168	0.748323	0.290871	8.50554	3.66261	39.7128	0.548969	48.717	4.01046	8.12644	-4.493786e+01	-1.063421e+03	-1.108359e+03
1870	883.415	20.4849	4.08589	11.7095	4.76345	6.10618	0.00814013	84.523	4.40074	8.09134	1.60171	0.354552	0.672316	0.577636	16.6675	3.52473	0.746531	0.309988	12.5971	3.15919	35.9685	0.544112	54.758	4.60932	8.37726	-4.580237e+01	-1.058867e+03	-1.104669e+03
1880	923.161	12.9315	4.07467	18.8117	5.05916	6.16775	0.0076459	83.8446	4.95598	9.01925	2.42087	0.327755	0.782458	0.579239	17.4251	3.91434	0.738194	0.28822	11.8094	2.98193	38.1406	0.558568	53.7339	4.99361	8.0168	-4.625517e+01	-1.055884e+03	-1.102139e+03
1890	984.093	11.5404	4.04265	10.9871	5.0986	6.41343	0.00784013	85.0917	4.39562	8.40973	1.11138	0.322758	0.712091	0.585458	17.0336	4.29946	0.759667	0.294758	8.68519	2.61297	38.8936	0.586013	52.2421	5.31279	8.09021	-4.565903e+01	-1.054406e+03	-1.100065e+03
1900	903.456	7.42389	4.04265	10.8454	5.17049	6.48152	0.00893404	84.8029	4.69008	8.10857	2.939	0.359732	0.780881	0.588817	17.1103	3.70689	0.76313	0.274083	7.50236	2.53956	33.4005	0.526912	51.3493	6.74017	8.08428	-4.481225e+01	-1.055231e+03	-1.100044e+03
1910	891.37	19.9357	4.04241	14.2022	5.24919	6.364	0.00830538	84.7092	4.91254	8.68034	2.01214	0.355687	0.830693	0.590599	18.1212	3.69888	0.807962	0.274523	9.85942	1.16738	36.969	0.510889	31.8145	5.36316	8.50777	-4.779808e+01	-1.061353e+03	-1.109151e+03
1920	854.725	14.9198	4.07542	9.05992	5.13579	6.76386	0.0085877	84.5623	3.92657	9.77757	2.35712	0.446639	0.749812	0.595169	18.43	3.61436	0.809194	0.268357	6.00816	2.82205	35.8321	0.555358	45.1376	4.26798	8.44084	-4.434156e+01	-1.058857e+03	-1.103199e+03
1930	871.289	20.6494	4.10755	11.1283	5.16206	6.87614	0.00933078	85.3278	5.14309	9.76531	2.4888	0.485595	0.757372	0.599059	17.9227	2.57541	0.772541	0.2784	5.84963	2.58779	38.9559	0.680627	51.8605	7.15167	8.32676	-4.713108e+01	-1.055535e+03	-1.102666e+03
1940	821.238	16.9223	4.0729	8.13987	4.97337	6.82783	0.00833215	82.998	4.32742	11.9789	2.54446	0.430953	0.745555	0.59323	19.9119	3.04104	0.794758	0.313938	13.2271	2.34913	36.1509	0.678327	45.1301	5.03882	8.66199	-4.852409e+01	-1.055136e+03	-1.103660e+03
1950	838.163	10.8221	4.11501	16.1279	5.27125	6.80233	0.00829474	83.1088	4.39157	11.0602	1.42144	0.358949	0.742663	0.602455	18.4642	2.9879	0.810883	0.307158	5.50634	2.35848	37.526	0.587092	42.2969	6.27298	8.04873	-4.610536e+01	-1.057410e+03	-1.103516e+03
1960	943.739	10.8504	4.09219	16.0021	5.17709	6.86192	0.009244	83.1613	4.756	9.37429	2.36761	0.455233	0.685012	0.593039	18.791	3.36128	0.785563	0.268923	7.3216	5.24764	35.7159	0.660685	49.0055	6.67569	8.2792	-4.497829e+01	-1.061417e+03	-1.106396e+03
1970	827.274	10.9383	4.04151	11.0969	4.6298	6.84884	0.00764962	83.5371	3.63138	9.16684	2.77646	0.399041	0.673796	0.577078	19.2882	4.50954	0.75461	0.264644	8.71229	3.47819	39.5295	0.628894	44.5455	5.90519	8.21292	-4.479730e+01	-1.055873e+03	-1.100670e+03
1980	880.379	11.4248	4.07139	10.6989	4.82141	6.73897	0.00727914	83.948	4.31542	7.96382	2.68351	0.36273	0.632155	0.577303	19.8431	3.4218	0.725766	0.288124	9.55428	3.93314	39.1272	0.594842	36.0209	5.5851	8.17345	-4.498445e+01	-1.058127e+03	-1.103111e+03
1990	880.379	17.0517	3.98035	12.0917	4.79835	6.79646	0.00732268	85.1887	3.96826	10.4845	2.6289	0.44068	0.672771	0.573484	19.5912	3.30005	0.710608	0.272453	3.26683	1.53403	38.3264	0.562599	40.5398	4.07332	8.76147	-4.512141e+01	-1.058918e+03	-1.104040e+03
2000	926.551	15.5914	3.98394	14.9537	4.76046	6.80011	0.007646	85.4595	5.46574	11.3889	2.11949	0.443038	0.662597	0.57032	18.8496	4.25101	0.708122	0.260435	7.26465	1.25825	32.743	0.532477	54.9106	5.57272	8.06357	-4.519244e+01	-1.059681e+03	-1.104874e+03
