iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_T50Testing(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_FAsymp(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
280	2545.46	8.88766	2.90093	15.697	2.30528	8.29412	0.00846062	140.413	34.8195	4.54577	1.72682	0.208012	0.833042	0.664066	0.515615	22.4061	5.5072	0.446411	0.0640213	10.1245	12.1073	33.1797	0.757769	36.2127	8.55791	3.58725	-5.383057e+01	-1.036672e+03	-1.090503e+03
290	2858.58	7.52343	2.85609	17.9369	2.53062	8.29436	0.00763905	140.621	30.0622	4.40684	1.39582	0.261294	0.73723	0.683458	0.518662	23.3456	4.79828	0.402793	0.116838	8.14298	9.79776	40.5015	0.74497	33.5689	7.16076	4.2307	-5.330863e+01	-1.038645e+03	-1.091953e+03
300	2729.23	8.01104	2.84073	13.9899	2.64995	7.95571	0.00732324	138.261	30.5645	4.40684	2.77621	0.254907	0.7591	0.605652	0.518896	24.2283	4.85558	0.410491	0.121151	6.35822	10.4904	38.2783	0.665888	31.5482	7.57006	4.36428	-5.320317e+01	-1.039318e+03	-1.092521e+03
310	2729.23	13.644	2.8694	8.99668	2.65383	7.93829	0.00650924	146.967	31.9022	3.63377	1.07313	0.270086	0.56603	0.6678	0.495881	24.5297	5.41949	0.390853	0.10402	3.28461	11.4358	41.822	0.622216	30.6486	5.66154	4.01952	-5.440952e+01	-1.041622e+03	-1.096031e+03
320	3289.98	15.0741	2.86858	9.64784	2.6396	7.55551	0.00520747	146.221	29.4737	4.04847	1.55088	0.366875	0.732588	0.656575	0.481382	24.2366	4.78974	0.374131	0.133517	8.47313	8.02291	41.6612	0.622216	34.9739	6.02699	3.90745	-5.293378e+01	-1.040116e+03	-1.093050e+03
330	3033.94	15.902	2.86926	18.8265	2.76978	7.95752	0.00572319	154.346	35.525	5.30094	2.47364	0.219958	0.788339	0.660153	0.492573	24.8038	5.65033	0.36631	0.13448	6.92091	6.63714	44.3493	0.747147	30.4036	5.30474	4.42363	-5.671028e+01	-1.039464e+03	-1.096174e+03
340	3024.79	17.8163	2.85203	18.5792	2.96812	7.74805	0.00497002	170.724	41.6848	4.88561	2.56817	0.123154	0.775873	0.65735	0.506528	25.2986	5.37837	0.36631	0.120929	6.50045	8.92866	44.2755	0.548147	38.8311	5.31132	4.07643	-5.621757e+01	-1.040961e+03	-1.097178e+03
350	3114.79	13.4022	2.81583	18.3037	3.18765	7.25501	0.00476328	159.491	40.4425	6.82421	1.99419	0.08244	0.872694	0.653482	0.496611	26.2795	3.86902	0.372935	0.0561314	7.03805	10.5623	34.6155	0.538345	42.7719	6.19945	3.70971	-5.668241e+01	-1.040445e+03	-1.097128e+03
360	3551.73	11.9513	2.77048	18.4503	3.15267	7.55581	0.00581309	157.838	34.856	7.73054	1.42497	0.198122	0.919818	0.750496	0.507925	26.2833	4.49286	0.394684	0.182328	5.7881	8.62586	42.0636	0.61269	28.9045	6.49578	2.40806	-5.682754e+01	-1.041034e+03	-1.097861e+03
370	4141.97	10.8783	2.72618	15.4446	3.29547	7.8096	0.00630974	160.686	38.7178	6.20174	2.63609	0.119769	0.826252	0.660354	0.510289	26.5355	4.64927	0.414986	0.197027	6.91449	7.46584	35.5842	0.480972	24.5472	6.62099	3.073	-5.593949e+01	-1.046372e+03	-1.102312e+03
380	4503.34	12.7685	2.79782	13.1364	3.2746	7.45189	0.00521825	169.788	38.7943	7.484	2.02956	0.172615	0.916255	0.686382	0.499918	24.5216	5.83127	0.405232	0.294086	7.02314	9.74482	35.7333	0.677174	44.89	6.03384	3.74362	-5.469943e+01	-1.037895e+03	-1.092594e+03
390	4363.23	10.0292	2.84331	8.60717	3.09815	7.59025	0.00504885	151.782	39.3158	9.42595	2.33294	0.051258	0.57728	0.672963	0.491435	24.6758	5.49183	0.371127	0.332419	8.66725	9.37814	36.6842	0.503348	32.3422	5.09993	3.95347	-5.395501e+01	-1.039645e+03	-1.093600e+03
400	3944.51	13.325	2.83587	14.6695	2.78739	7.60237	0.0056219	144.832	31.999	6.49021	1.38504	0.106583	0.511049	0.669027	0.466885	24.4959	6.17018	0.36617	0.303649	9.42991	10.5653	34.2566	0.621861	33.7257	4.83665	3.22344	-5.369839e+01	-1.039445e+03	-1.093143e+03
410	3685.49	14.071	2.81457	16.284	2.78739	7.12323	0.0052245	148.927	38.2286	10.6108	2.47887	0.135977	0.63027	0.73477	0.455449	26.4248	4.37861	0.371105	0.256036	7.43561	10.8967	33.5785	0.608935	32.4639	7.14429	3.47458	-5.693222e+01	-1.038184e+03	-1.095116e+03
420	3892.12	18.347	2.85682	12.0837	3.02295	7.11967	0.00567533	144.526	30.0781	8.64018	1.96662	0.0403517	0.834927	0.625054	0.446917	25.2414	5.10508	0.379289	0.150731	8.16691	11.5276	31.7813	0.69078	36.7719	5.99703	3.16147	-5.481351e+01	-1.034270e+03	-1.089083e+03
430	3867.7	15.7721	2.85783	13.5216	3.45013	6.54575	0.00529497	143.559	28.779	10.5957	1.24631	0.0516244	0.933764	0.721759	0.463431	24.2962	6.26312	0.395903	0.16885	6.22502	10.8763	31.7813	0.528178	34.8254	5.06445	3.26887	-5.376455e+01	-1.039472e+03	-1.093236e+03
440	3518.91	12.1892	2.87589	16.9266	3.33185	6.70836	0.00552464	140.924	28.779	11.7296	2.45613	0.0572449	0.920969	0.78719	0.461773	24.8368	5.65965	0.414159	0.106698	7.46767	12.6791	29.4286	0.673847	50.3753	6.39475	4.08255	-5.620546e+01	-1.034767e+03	-1.090972e+03
450	3304.1	12.6582	2.85892	16.6146	3.00755	6.60804	0.00561851	143.64	29.8168	9.3379	2.49894	0.103747	0.788762	0.745969	0.461773	25.0971	5.00828	0.417894	0.205964	7.84483	10.6514	30.2159	0.693369	46.1265	8.98139	3.57321	-5.415152e+01	-1.035394e+03	-1.089546e+03
460	3600.45	7.01339	2.89208	16.0754	2.86481	6.43032	0.00435995	143.361	29.8168	10.3697	2.09493	0.217682	0.753222	0.638933	0.460121	24.2212	4.00468	0.417894	0.248786	6.34885	10.6751	31.05	0.647675	45.552	7.17466	3.79817	-5.197260e+01	-1.037011e+03	-1.088983e+03
470	3638.9	9.53734	2.86115	15.6641	2.60488	6.60219	0.00456714	143.361	31.7795	9.08812	1.24932	0.330351	0.794617	0.723356	0.463614	23.9496	3.89124	0.417894	0.180641	8.03984	13.947	28.3449	0.596828	45.9423	7.48236	4.25732	-5.198458e+01	-1.038924e+03	-1.090909e+03
480	3555.42	12.4889	2.88591	8.21964	2.69416	6.63478	0.00484029	134.14	30.0917	7.55891	1.5419	0.372663	0.878775	0.653477	0.464744	23.417	4.6453	0.441511	0.125757	8.65921	12.4614	28.3214	0.557698	39.7997	5.71407	4.5111	-5.110106e+01	-1.035706e+03	-1.086807e+03
490	3565.03	11.4411	2.90772	10.4894	2.7092	6.45217	0.00469528	145.927	37.3973	6.08805	2.14709	0.40312	0.841527	0.638535	0.464992	22.0612	7.0001	0.434863	0.0945825	10.5737	11.2049	24.2412	0.44963	44.1671	8.07218	4.20096	-5.277732e+01	-1.038803e+03	-1.091581e+03
500	3971.34	11.4314	2.92221	8.1963	2.57538	6.78711	0.00402737	153.049	33.9714	5.55404	2.52012	0.355265	0.619021	0.664929	0.464593	22.6658	6.56799	0.437851	0.204899	9.20732	11.8596	26.3874	0.503018	48.0591	6.25869	3.12293	-5.174273e+01	-1.035254e+03	-1.086997e+03
510	3657.14	12.2458	2.90731	13.6613	2.41524	6.87359	0.00398056	147.511	36.2064	5.17466	2.39684	0.254096	0.544491	0.638528	0.461824	22.9614	5.00482	0.423967	0.0782208	10.2087	13.382	26.034	0.595047	53.0546	7.43001	3.46719	-5.192990e+01	-1.034062e+03	-1.085992e+03
520	4129.93	16.4328	2.88471	11.5227	2.4451	6.91787	0.00534976	154.057	36.2064	6.28295	2.94808	0.0967634	0.638485	0.739131	0.45563	21.4645	5.31083	0.409707	0.0903832	9.61701	13.5339	26.7781	0.632374	56.4045	6.17848	5.48521	-5.197370e+01	-1.036113e+03	-1.088086e+03
530	4163.59	11.4016	2.92033	10.788	2.60675	6.99309	0.00444976	159.233	34.962	7.40927	2.13761	0.0459132	0.638485	0.790669	0.448893	22.4777	5.88128	0.427667	0.123101	11.6812	13.6694	28.3157	0.707965	50.7119	7.10027	2.80505	-5.305064e+01	-1.037417e+03	-1.090468e+03
