Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
20	537.026	10.8372	3.93207	11.257	2.93554	9.39588	0.0498339	92.0281	6.09507	3.76574	1.29778	0.703536	0.675257	0.679972	17.3734	4.62233	0.897803	0.208492	8.55291	5.83487	32.2797	0.425458	42.5871	0.0922748	0.340653	0.10643	0.126155	0.520317	0.25023	0.0371759	17.3734	32.2797	0.425458	42.5871	0.967813	0.0048555	9.93595e-05	2.61723e-05	0.00016693	1.20355e-05	0.000318775	0.0146461	0.0110391	0.00117355	0.679972	0.70731	0.208492	0.126155	0.520316	0.250229	0.0101943	9.18718	0.0262949	0.822106	0.795645	119.292	13.9028	0.0123261	0.00115275
21	491.434	15.147	4.14054	12.8877	5.34965	5.40173	0.0413946	90.0913	5.79032	7.02347	2.04276	0.622892	0.641573	0.541826	17.2929	4.2348	0.46571	0.526855	7.90202	5.71744	35.1938	0.333361	32.9927	0.0660197	0.186928	0.185126	0.0568993	0.314072	0.175462	0.059477	17.2929	35.1938	0.333361	32.9927	0.944024	0.016772	0.000166669	0.00018558	0.000146756	7.54248e-05	0.000184143	0.0262885	0.0110357	0.00125895	0.541826	0.75172	0.526855	0.0568993	0.314071	0.175462	0.018789	8.95132	0.04471	0.782395	0.738599	122.177	14.6526	0.0124043	0.00123735
22	834.318	10.6106	2.85395	7.70497	2.62682	7.44577	0.0383143	88.9906	6.73888	9.09153	2.82209	0.618606	0.667703	0.735249	17.4422	4.71877	0.24168	0.524577	7.20951	5.73087	38.8032	0.258675	56.3521	0.0942454	0.380688	0.134304	0.0454319	0.236599	0.117749	0.0497469	17.4422	38.8032	0.258675	56.3521	0.955647	0.00788281	5.75223e-05	6.34685e-05	0.000153011	7.58726e-05	0.000229562	0.0232235	0.0117556	0.00114547	0.735249	0.928367	0.524575	0.0454317	0.236598	0.117748	0.0119083	6.18762	0.0461834	0.755886	0.72236	96.4382	12.136	0.0130732	0.00112795
23	2646.92	9.3133	3.18576	15.0507	4.15325	5.5502	0.032553	91.7994	6.14895	6.46573	2.03479	0.54549	0.725482	0.568963	15.7863	2.91633	0.739078	0.185223	11.3626	7.57434	51.2599	0.429177	57.1694	0.107373	0.240775	0.180174	0.0612063	0.356539	0.134912	0.0381371	15.7863	51.2599	0.429177	57.1694	0.932874	0.00711408	0.000311764	7.08725e-05	0.000338821	3.60857e-05	0.000190045	0.0469738	0.0113154	0.00151796	0.568963	0.659156	0.185223	0.0612061	0.356538	0.134912	0.0190167	10.7526	0.0251383	0.912406	0.851159	141.707	15.5043	0.0127558	0.00148795
24	1690.66	8.2703	4.16753	11.2651	5.85969	8.49692	0.0399015	88.991	5.17017	6.50995	1.63079	0.286272	0.714632	0.609918	16.4802	3.56574	0.796131	0.57187	6.75525	3.57279	39.3633	0.274921	46.9994	0.120915	0.170657	0.11769	0.0314256	0.438212	0.174988	0.0435394	16.4802	39.3633	0.274921	46.9994	0.947245	0.0116641	0.000169834	0.000226838	0.000246325	6.6496e-05	0.000383824	0.0266786	0.0126057	0.00118702	0.609918	0.674602	0.57187	0.0314256	0.438212	0.174988	0.0102309	8.07888	0.0293718	0.681294	0.645353	138.072	15.6952	0.0141182	0.00117215
25	507.349	15.6233	4.44254	13.8304	4.59334	5.41898	0.0344763	92.5357	7.81088	8.20879	1.1949	0.540722	0.612782	0.452129	16.943	3.79952	0.388833	0.535839	11.2143	7.47529	29.2178	0.262293	30.0634	0.064007	0.217707	0.184537	0.0403646	0.512831	0.324059	0.059276	16.943	29.2178	0.262293	30.0634	0.931797	0.0194781	0.000128259	0.000148024	0.000149119	4.03063e-05	0.000163071	0.0356167	0.0113417	0.00127967	0.452129	0.734437	0.535819	0.0403631	0.512812	0.324047	0.016868	8.24059	0.0435345	0.740442	0.689942	106.584	13.0277	0.0127003	0.00125588
26	1309.26	7.41973	2.84378	15.1473	3.42308	5.84483	0.0336513	90.9339	5.74814	7.98879	2.28908	0.311147	0.689539	0.657775	17.6003	2.89316	0.411242	0.498758	3.70309	4.44831	31.1269	0.276864	36.4622	0.134776	0.292135	0.171091	0.0268561	0.30123	0.135627	0.032121	17.6003	31.1269	0.276864	36.4622	0.937427	0.0112358	0.000122301	0.000121695	0.000218091	8.82421e-05	0.000213364	0.0371304	0.0125508	0.0012593	0.657775	0.841755	0.498758	0.0268561	0.30123	0.135627	0.0152206	11.3987	0.027038	0.78042	0.731587	118.476	13.4945	0.0140003	0.00124367
27	3810.77	7.24967	2.47546	19.3334	3.69107	5.05152	0.0315227	95.9295	7.96909	10.0288	1.71144	0.441142	0.659868	0.595769	15.9178	3.54341	0.270173	0.421026	12.9696	7.3312	43.3294	0.423396	50.0777	0.137937	0.270924	0.19796	0.029026	0.385563	0.19874	0.0253469	15.9178	43.3294	0.423396	50.0777	0.921242	0.0103707	0.000142023	0.000103251	0.000196294	5.04517e-05	0.000135615	0.0565471	0.0108129	0.0014685	0.595769	0.869425	0.420996	0.0290239	0.385535	0.198726	0.0194816	14.8272	0.0220373	0.833492	0.767848	100.886	12.0653	0.0123248	0.00144657
28	1655.86	11.6893	2.53337	17.6902	3.88205	5.72787	0.0451966	90.6756	5.47138	5.87483	1.45461	0.756617	0.745902	0.702956	17.4205	4.22742	0.584154	0.196995	12.2071	7.83122	38.8111	0.464164	43.6528	0.0855483	0.257596	0.174585	0.0960644	0.512785	0.174685	0.0250019	17.4205	38.8111	0.464164	43.6528	0.953631	0.010424	0.000238736	5.85673e-05	0.000245086	2.25914e-05	0.000201052	0.0245797	0.00972386	0.00134	0.702956	0.813921	0.196995	0.0960644	0.512785	0.174685	0.0204019	14.8745	0.0203496	0.898068	0.856425	148.495	17.2175	0.0109396	0.00130514
29	1168.64	19.664	3.16641	9.1106	4.32788	8.88459	0.0425748	89.351	5.22094	7.6607	2.76074	0.557591	0.668428	0.762478	17.5408	3.14455	0.273393	0.593839	5.04556	3.3001	31.62	0.494716	58.4074	0.0508544	0.23106	0.112554	0.0486521	0.242119	0.120103	0.0391186	17.5408	31.62	0.494716	58.4074	0.934992	0.0314598	8.84449e-05	0.000129313	0.000159253	9.04734e-05	0.000336219	0.019857	0.0120712	0.00114366	0.762478	0.928542	0.593839	0.0486521	0.242119	0.120103	0.0100473	8.01718	0.0363232	0.733706	0.686009	110.775	13.5073	0.0135085	0.00113185
30	1322.45	12.7141	2.93074	8.17232	3.83916	5.84096	0.0333532	90.4025	6.21797	8.41117	1.3965	0.227177	0.718451	0.652224	16.2862	4.47433	0.38206	0.545969	13.1694	5.02668	58.3071	0.555402	52.8128	0.0786528	0.260474	0.171205	0.0194046	0.514465	0.20161	0.0613971	16.2862	58.3071	0.555402	52.8128	0.940323	0.0116308	0.000106134	0.000127624	0.000172414	4.83072e-05	0.00018317	0.0341942	0.0124168	0.0011687	0.652224	0.849353	0.545968	0.0194046	0.514464	0.20161	0.0140952	6.44824	0.0521478	0.800976	0.753176	107.159	10.8443	0.0137136	0.00115461
31	875.507	11.9836	3.88115	18.4816	4.04173	8.53787	0.0395217	91.6975	5.01766	6.69436	2.43416	0.58665	0.73526	0.624185	17.6418	3.53066	0.53944	0.438925	3.61703	4.27932	52.7174	0.355592	53.7053	0.0834474	0.247419	0.117125	0.0644334	0.302059	0.10876	0.0245964	17.6418	52.7174	0.355592	53.7053	0.94106	0.0203526	0.00012104	9.46885e-05	0.000196918	6.11898e-05	0.000331238	0.0234128	0.0134163	0.00119851	0.624185	0.775504	0.438925	0.0644334	0.302059	0.10876	0.00959729	13.4509	0.0190746	0.792888	0.746155	116.351	13.0813	0.0148975	0.00118387
32	488.824	10.121	3.46731	9.50222	4.57896	5.5516	0.0400829	91.6138	5.95506	4.90695	1.93778	0.723516	0.70409	0.687333	16.7406	2.84678	0.633069	0.419458	3.47301	5.23143	45.8584	0.244866	45.9455	0.0988045	0.21839	0.180128	0.103816	0.363349	0.152706	0.0657278	16.7406	45.8584	0.244866	45.9455	0.959933	0.00506115	0.000131725	9.5173e-05	0.000115478	4.31663e-05	0.000173234	0.0210648	0.0123389	0.00118061	0.687333	0.788707	0.419457	0.103816	0.363348	0.152705	0.0154436	7.25869	0.05184	0.769351	0.738525	104.189	11.5426	0.0136485	0.00116518
33	1080.56	9.71536	3.27397	18.4981	3.47757	5.3399	0.0338216	90.8731	6.40225	6.40273	1.32315	0.376012	0.655134	0.569406	15.5204	4.11491	0.476923	0.377132	13.7599	7.32631	43.8404	0.296985	52.5382	0.10293	0.287557	0.187269	0.0384739	0.495132	0.26064	0.0331447	15.5204	43.8404	0.296985	52.5382	0.932716	0.0147191	0.000187511	0.000113532	0.00026445	4.43858e-05	0.000174861	0.0400547	0.0106666	0.00136177	0.569406	0.764461	0.377131	0.0384738	0.495131	0.260639	0.0198298	12.9003	0.0253378	0.901885	0.841202	129.52	14.8395	0.0120373	0.00133395
34	319.81	18.5201	3.52144	15.575	4.87651	5.5703	0.0452886	90.8221	6.88526	3.34662	1.50566	0.677651	0.639911	0.733676	18.8775	2.91889	0.468969	0.45721	7.15295	5.83644	36.4408	0.439133	53.1179	0.0539954	0.205065	0.179524	0.129574	0.425004	0.239157	0.0405895	18.8775	36.4408	0.439133	53.1179	0.945796	0.0227266	0.000141089	0.000118834	0.000103688	3.84059e-05	0.00018018	0.017725	0.0120021	0.00125808	0.733676	0.86482	0.457207	0.129573	0.425	0.239155	0.017123	13.2485	0.0351026	0.81667	0.772403	117.964	13.2933	0.013333	0.00123827
35	1147.15	14.3807	3.7531	11.7146	6.56093	5.24503	0.0520032	91.6035	6.24675	6.27196	2.1522	0.557165	0.871877	0.557647	15.9634	4.33622	0.586227	0.49221	12.314	6.49705	37.8524	0.493228	42.6901	0.0695376	0.152417	0.190657	0.0774526	0.40511	0.0595312	0.0610822	15.9634	37.8524	0.493228	42.6901	0.955937	0.0102357	0.000155541	0.000150698	9.95761e-05	5.28317e-05	0.000162314	0.0215041	0.0107531	0.00127039	0.557647	0.710083	0.492209	0.0774524	0.405109	0.059531	0.0189273	9.08851	0.0433734	0.746604	0.713707	116.239	13.349	0.0120707	0.00124832
36	922.462	12.703	2.98066	18.2733	3.45696	5.69552	0.0371186	89.478	6.63014	8.97613	2.97533	0.4532	0.660447	0.688197	17.3335	3.46078	0.429669	0.499354	6.06984	5.80071	37.6412	0.277966	43.444	0.0787216	0.289271	0.175577	0.0333456	0.221974	0.114123	0.0286393	17.3335	37.6412	0.277966	43.444	0.927675	0.0252802	0.000116277	0.000115975	0.000188184	0.000109569	0.000188502	0.033276	0.0119626	0.0013467	0.688197	0.851668	0.499352	0.0333455	0.221973	0.114122	0.0174918	14.1594	0.0243912	0.827608	0.767751	113.635	14.0871	0.013456	0.00132574
37	1418.54	12.2237	2.83528	19.54	3.84925	6.52665	0.0453665	88.5093	6.18004	7.20502	2.56068	0.667058	0.744652	0.699184	17.4418	3.91721	0.404284	0.414173	12.1566	6.73495	31.2255	0.416771	43.0093	0.0818083	0.259791	0.153218	0.0689417	0.290802	0.0997188	0.0222321	17.4418	31.2255	0.416771	43.0093	0.946545	0.0183247	0.000114846	8.11944e-05	0.000154441	5.83159e-05	0.000198175	0.022542	0.0110959	0.0012828	0.699184	0.865308	0.414172	0.0689416	0.290802	0.0997187	0.0156256	16.1118	0.0192376	0.817337	0.773647	114.731	13.5052	0.0124214	0.0012597
38	853.699	8.56288	2.91467	8.57449	3.81231	5.37011	0.0440844	88.1769	5.50466	5.70891	1.86723	0.448383	0.806609	0.709173	17.3294	4.01583	0.742681	0.40146	9.2279	6.7592	35.5271	0.382441	44.2311	0.116783	0.262308	0.186216	0.0633518	0.431982	0.103571	0.0632992	17.3294	35.5271	0.382441	44.2311	0.959565	0.00477445	0.000138543	9.29252e-05	0.000163943	4.80119e-05	0.000175697	0.0230345	0.010987	0.00125892	0.709173	0.774741	0.40146	0.0633518	0.431981	0.103571	0.0190172	7.03449	0.0490404	0.827355	0.793901	121.877	14.4187	0.0123123	0.00123404
