Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
20	7798.79	9.54385	4.11692	12.1336	2.94477	19.4429	0.073604	85.0653	3.75287	3.95514	1.75442	0.545073	0.651925	0.60247	17.9668	4.83758	0.33233	0.0852135	9.29848	5.12724	51.6958	0.437304	69.8471	0.10478	0.339585	0.0514327	0.0898443	0.37159	0.198399	0.0174511	17.9668	51.6958	0.437304	69.8471	0.968878	0.00184413	8.25564e-05	7.69023e-06	0.000219014	4.68577e-06	0.000551538	0.0131111	0.014254	0.00192535	0.60247	0.845018	0.0852135	0.0898443	0.37159	0.198399	0.00671569	9.41945	0.0147465	0.899418	0.871427	214.627	36.4425	0.0165357	0.00190536
21	9178.3	10.0613	4.15444	17.62	4.32372	7.88619	0.0683048	100.827	11.3313	5.92216	2.9825	0.794439	0.664771	0.210979	16.824	5.68746	0.100974	0.529817	13.545	13.1937	32.738	0.797207	18.8245	0.0993907	0.231282	0.126804	0.0891769	0.222891	0.112399	0.0298978	16.824	32.738	0.797207	18.8245	0.941478	0.00727781	6.03509e-05	6.7977e-05	7.37635e-05	5.09478e-05	0.000151731	0.0385087	0.0107769	0.00258745	0.210979	0.854606	0.529758	0.089167	0.222866	0.112386	0.0181195	14.8007	0.0255508	0.823402	0.775215	184.935	34.7621	0.0134086	0.00254392
22	8910.8	12.8881	4.03968	13.9022	2.83557	14.0816	0.0584816	87.0793	5.1913	8.05198	2.50939	0.490075	0.805001	0.569706	18.1644	6.64362	0.938952	0.265456	9.64483	5.98341	35.1603	0.515365	24.0493	0.077591	0.352663	0.0710147	0.0489955	0.320795	0.0777077	0.0206353	18.1644	35.1603	0.515365	24.0493	0.944305	0.0131042	7.57681e-05	2.73817e-05	0.000270581	2.55862e-05	0.000367772	0.0267364	0.0141018	0.00198862	0.569706	0.589614	0.265456	0.0489955	0.320795	0.0777077	0.00912565	11.0031	0.0121669	0.819396	0.77376	217.644	33.9826	0.016316	0.00196715
23	4306.17	11.5371	4.04376	17.767	3.34404	5.80108	0.0505638	101.365	11.9713	5.4332	2.06222	0.619123	0.738982	0.369117	18.0133	5.26193	0.578475	0.199102	10.6777	13.5791	31.1129	0.60703	22.5146	0.0866769	0.299039	0.172382	0.0842083	0.358343	0.126571	0.039234	18.0133	31.1129	0.60703	22.5146	0.914207	0.00621782	0.000130611	3.24588e-05	0.000167211	2.1015e-05	0.000124445	0.0643838	0.0119443	0.00325598	0.369117	0.561843	0.199064	0.0841924	0.358275	0.126547	0.0242549	13.3622	0.0220434	0.919479	0.840594	226.869	36.6726	0.0151541	0.00320783
24	7125.33	7.55148	4.16035	7.89538	3.68769	6.72142	0.0461513	99.6246	11.1522	6.09269	1.49732	0.515091	0.61429	0.388223	17.3929	6.69954	0.7272	0.383086	12.2162	12.7963	39.9489	0.804952	3.43542	0.132424	0.271172	0.148778	0.0519336	0.41026	0.2576	0.0783963	17.3929	39.9489	0.804952	3.43542	0.916682	0.00318766	9.0485e-05	5.61762e-05	0.000142056	2.38073e-05	0.000122009	0.0661599	0.0115799	0.00275775	0.388223	0.502551	0.383053	0.0519291	0.410224	0.257578	0.0196868	6.95326	0.0393981	0.842071	0.771912	179.014	30.5169	0.0143522	0.00272077
25	7807.34	7.42572	4.2925	10.2283	2.97956	21.0526	0.0754738	84.6278	3.25665	4.891	1.12431	0.497686	0.786352	0.628521	17.1065	4.79969	0.338944	0.220835	10.5969	4.20434	53.1136	0.689382	78.1409	0.134667	0.33562	0.0475001	0.0800156	0.699409	0.190026	0.0199343	17.1065	53.1136	0.689382	78.1409	0.969154	0.00315569	7.37823e-05	2.09118e-05	0.000211412	7.96195e-06	0.000630588	0.0118536	0.013934	0.00183745	0.628521	0.854362	0.220835	0.0800156	0.699409	0.190026	0.00610627	8.90189	0.0170311	0.926384	0.897808	220.369	36.9895	0.0162112	0.00182057
26	9601.99	12.6435	4.13433	11.5473	3.51358	19.8292	0.0649182	84.4711	4.14797	4.57905	1.96261	0.470018	0.637038	0.637998	19.2961	5.5384	0.589511	0.253525	11.4331	5.22082	34.2962	0.503913	80.4746	0.079092	0.28461	0.0504307	0.065389	0.324587	0.184938	0.0180559	19.2961	34.2962	0.503913	80.4746	0.958767	0.00949288	9.10038e-05	3.09076e-05	0.000260145	1.78255e-05	0.000614485	0.0158905	0.0140909	0.00182536	0.637998	0.767253	0.253525	0.065389	0.324587	0.184938	0.00631986	9.47358	0.0138535	0.845874	0.810996	233.904	38.2917	0.0163169	0.00180399
27	6273.89	9.71235	4.47366	17.4144	4.76847	8.03703	0.0655826	96.8987	10.4915	4.84652	2.99359	0.622756	0.659968	0.300218	15.8986	5.21848	0.163396	0.519244	10.9673	11.4818	35.7915	0.6607	18.0246	0.102962	0.209711	0.124424	0.0848029	0.22046	0.113587	0.0319638	15.8986	35.7915	0.6607	18.0246	0.946132	0.00674899	7.00598e-05	7.56565e-05	8.0684e-05	5.16867e-05	0.000159242	0.0325544	0.0124354	0.00239855	0.300218	0.821515	0.519225	0.0847998	0.220452	0.113583	0.0172901	13.2796	0.0262588	0.80129	0.758126	183.142	33.4441	0.0149057	0.00236142
28	4707.26	8.5111	4.32391	18.1529	3.38977	8.26973	0.0619149	98.7784	12.9428	3.77227	2.4984	0.451918	0.801748	0.326786	18.3549	5.85411	0.431582	0.198662	11.3497	13.6601	30.3762	0.55859	15.1693	0.117494	0.295005	0.120923	0.0960494	0.320905	0.0793516	0.0288031	18.3549	30.3762	0.55859	15.1693	0.946827	0.00331716	8.17296e-05	2.02513e-05	0.000127156	1.60228e-05	0.000157405	0.035302	0.0121158	0.00256558	0.326786	0.617113	0.198603	0.0960211	0.32081	0.0793282	0.0165633	12.7585	0.0177748	0.83773	0.793186	193.63	33.5853	0.0146762	0.00252242
29	8062.37	18.2948	3.85404	11.2696	2.07674	22.0244	0.0909264	83.3617	3.29466	7.11153	1.86497	0.683311	0.842272	0.676829	19.4877	4.62387	0.235663	0.18724	13.6461	5.26819	43.4199	0.554474	71.6241	0.0546603	0.481524	0.0454042	0.0809297	0.451628	0.084574	0.0155276	19.4877	43.4199	0.554474	71.6241	0.965645	0.00829171	4.03903e-05	9.30494e-06	0.00017556	8.60307e-06	0.00056797	0.0107377	0.0133185	0.00211288	0.676829	0.912116	0.18724	0.0809297	0.451628	0.084574	0.0070279	9.64699	0.014163	0.878999	0.848801	191.54	39.6073	0.015783	0.00209064
