"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
187700 642.955 9.0299 3.35829 15.6964 4.66563 5.41726 0.00993567 111.077 9.76506 3.51916 2.07434 0.378261 0.710998 0.592282 15.5196 7.04007 0.919398 0.144935 4.55168 9.70022 45.5532 0.380047 44.7564 6.67826 10.4074 -47.07854 -779.1979 -826.2764
130000 386.229 12.4614 3.13122 7.07522 3.51773 7.4172 0.0118512 106.153 10.9471 8.21503 1.48884 0.520875 0.620732 0.606372 20.7227 5.43555 0.653219 0.297469 3.96313 8.13692 31.7289 0.518862 52.5015 5.82335 14.4763 -44.87646 -786.9048 -831.7813
171900 4566.45 14.7522 2.59683 11.821 4.98548 7.79896 0.00946897 107.384 9.18483 8.58738 2.17392 0.310074 0.616395 0.618728 15.8566 3.45357 0.827365 0.261853 7.18208 6.82091 28.8234 0.779846 49.0583 5.01704 11.0827 -47.1996 -787.4819 -834.6815
173700 348.185 8.17682 2.93201 15.1575 3.91211 5.31437 0.00995336 107.35 13.2375 10.3809 2.01339 0.377292 0.689527 0.608609 19.5724 3.63417 0.430681 0.442955 4.35349 8.62972 47.93 0.304872 43.5225 5.64196 8.23022 -47.40662 -781.2723 -828.6789
52800 3175.62 14.8318 3.13735 8.59499 3.50876 8.45655 0.0121031 124.858 12.7151 4.56054 2.07604 0.218341 0.71822 0.457092 16.5816 5.41335 0.455768 0.48605 3.62449 10.7203 41.4461 0.67194 53.6774 6.6552 9.41711 -49.94265 -786.2273 -836.1699
115300 1335.55 8.62414 2.8722 10.8846 6.0449 7.59479 0.0138906 115.591 10.4128 3.45608 1.26758 0.470074 0.735062 0.582433 19.252 5.5772 0.527834 0.082395 3.46927 9.05956 33.6706 0.394705 42.1819 6.46274 8.84447 -47.18534 -779.7018 -826.8872
86400 347.436 13.4244 3.62306 18.3447 3.95254 6.38426 0.0113751 112.659 12.3312 4.06077 1.09413 0.454507 0.618982 0.583495 15.1733 3.20767 0.74697 0.352115 4.25285 7.3365 28.0796 0.376537 44.6712 6.24942 12.8745 -47.95018 -781.0018 -828.952
136100 2373.02 12.9498 2.36901 12.5258 4.96503 7.22583 0.0126751 109.553 11.0443 7.74105 2.33208 0.469695 0.80766 0.703556 16.2392 7.02941 0.797982 0.277911 12.7218 9.75499 45.5313 0.847694 42.6037 6.50771 8.66223 -49.31408 -780.8935 -830.2076
102200 4261.04 14.0357 1.88078 7.16942 4.49032 7.32246 0.0087134 105.397 8.89087 5.94621 2.19939 0.224378 0.821428 0.743059 16.3079 5.47801 0.368411 0.232982 3.6746 7.26979 37.0518 0.418649 48.8385 5.64288 9.4605 -47.65266 -783.5321 -831.1847
78100 715.363 7.38753 3.52511 11.8156 5.92579 6.81305 0.0105536 114.014 11.37 5.39173 1.78251 0.568471 0.61409 0.542227 20.3359 8.46332 0.639096 0.394696 3.59492 8.67792 30.587 0.450047 46.7215 4.7826 11.3206 -48.00787 -784.5089 -832.5167
46100 2202.01 9.30108 3.06225 16.4244 4.86542 8.1547 0.00968547 115.077 10.8174 9.59249 2.29147 0.611498 0.642108 0.565651 17.459 7.1539 0.746336 0.22496 5.24194 9.27154 46.4501 0.670441 46.0239 4.6596 9.3142 -45.96763 -784.8906 -830.8583
124900 1991.5 12.5331 2.49743 17.4255 5.97694 6.73483 0.00917743 110.925 9.0111 8.17663 2.41521 0.775916 0.678766 0.652316 19.0233 7.10716 0.594023 0.110943 1.56736 6.79519 35.7416 0.372605 52.9466 6.78268 16.4807 -48.99332 -783.8923 -832.8856
114800 863.007 9.52711 3.16443 10.0883 3.36858 5.90499 0.00921447 113.923 9.29755 4.02616 2.21182 0.261629 0.837362 0.573518 17.1227 6.78934 0.974503 0.272964 2.11651 7.18357 28.5181 0.781265 46.9898 5.80748 14.3124 -48.49647 -782.1438 -830.6403
