"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1407",2020-06-11,"death","CO",1328,"Training",1118.0465010544,1339.307791836,1499.091120576,1714.773059984,2160.6110898308,FALSE,TRUE
"1408",2020-06-11,"positive","CO",28499,"Training",23930.044492056,26251.25564336,27710.57693312,29095.09224224,32533.401718716,TRUE,TRUE
"1409",2020-06-12,"death","CO",1339,"Training",1128.3419692752,1351.772575908,1510.76119908,1728.713520156,2173.5483781916,FALSE,TRUE
"1410",2020-06-12,"positive","CO",28647,"Training",24146.511059244,26492.47469756,27939.947388,29329.94789316,32791.476593188,TRUE,TRUE
"1411",2020-06-13,"death","CO",1348,"Training",1139.2216612632,1364.23735998,1523.024427392,1740.963791312,2186.3304686172,FALSE,TRUE
"1412",2020-06-13,"positive","CO",28822,"Training",24368.11297926,26726.02023604,28176.83299336,29574.11829956,33050.553487724,TRUE,TRUE
"1413",2020-06-14,"death","CO",1348,"Training",1150.0413184284,1376.709342472,1535.820338784,1754.172892012,2199.4092779152,FALSE,TRUE
"1414",2020-06-14,"positive","CO",29017,"Training",24597.95133144,26975.38790168,28418.84387376,29803.22961132,33313.036674604,TRUE,TRUE
"1415",2020-06-15,"death","CO",1348,"Training",1160.8091469696,1389.191402752,1547.340690152,1766.82339532,2212.6434291168,FALSE,TRUE
"1416",2020-06-15,"positive","CO",29130,"Training",24824.288372132,27214.57700144,28647.78242344,30025.67518616,33539.86464754,TRUE,TRUE
"1417",2020-06-16,"death","CO",1373,"Training",1171.52845816,1400.678641388,1559.468588168,1779.325611176,2225.7605340092,FALSE,TRUE
"1418",2020-06-16,"positive","CO",29299,"Training",25056.264655052,27445.04161616,28869.09064792,30261.23628224,33766.87402066,TRUE,TRUE
"1419",2020-06-17,"death","CO",1373,"Training",1182.2019873992,1410.593745096,1572.468934688,1793.39996196,2238.7663513284,FALSE,TRUE
"1420",2020-06-17,"positive","CO",29442,"Training",25285.374527128,27678.29921784,29105.31399864,30501.24600188,33994.26491004,TRUE,TRUE
"1421",2020-06-18,"death","CO",1402,"Training",1192.8406762856,1423.992884084,1584.231152968,1804.705800412,2251.8149272624,FALSE,TRUE
