"date","numDate","state","fips","variable","value"
2020-03-21,81,"DC",11,"positiveIncrease",6
2020-03-21,81,"DE",10,"positiveIncrease",7
2020-03-21,81,"FL",12,"positiveIncrease",138
2020-03-21,81,"GA",13,"positiveIncrease",87
2020-03-21,81,"GU",66,"positiveIncrease",1
2020-03-21,81,"HI",15,"positiveIncrease",11
2020-03-21,81,"IA",19,"positiveIncrease",23
2020-03-21,81,"ID",16,"positiveIncrease",8
2020-03-21,81,"IL",17,"positiveIncrease",168
2020-03-21,81,"IN",18,"positiveIncrease",47
2020-03-21,81,"KS",20,"positiveIncrease",11
2020-03-21,81,"KY",21,"positiveIncrease",7
2020-03-21,81,"LA",22,"positiveIncrease",107
2020-03-21,81,"MA",25,"positiveIncrease",112
2020-03-21,81,"MD",24,"positiveIncrease",41
2020-03-21,81,"ME",23,"positiveIncrease",16
2020-03-21,81,"MI",26,"positiveIncrease",804
2020-03-21,81,"MN",27,"positiveIncrease",24
2020-03-21,81,"MO",29,"positiveIncrease",26
2020-03-21,81,"MS",28,"positiveIncrease",60
2020-03-21,81,"MT",30,"positiveIncrease",4
2020-03-21,81,"NC",37,"positiveIncrease",47
2020-03-21,81,"ND",38,"positiveIncrease",8
2020-03-21,81,"NE",31,"positiveIncrease",6
2020-03-21,81,"NH",33,"positiveIncrease",11
2020-03-21,81,"NJ",34,"positiveIncrease",437
2020-03-21,81,"NM",35,"positiveIncrease",14
2020-03-21,81,"NV",32,"positiveIncrease",15
2020-03-21,81,"NY",36,"positiveIncrease",3254
2020-03-21,81,"OH",39,"positiveIncrease",78
2020-03-21,81,"OK",40,"positiveIncrease",4
2020-03-21,81,"OR",41,"positiveIncrease",0
2020-03-21,81,"PA",42,"positiveIncrease",103
2020-03-21,81,"PR",72,"positiveIncrease",7
2020-03-21,81,"RI",44,"positiveIncrease",14
2020-03-21,81,"SC",45,"positiveIncrease",71
2020-03-21,81,"SD",46,"positiveIncrease",0
2020-03-21,81,"TN",47,"positiveIncrease",143
2020-03-21,81,"TX",48,"positiveIncrease",110
2020-03-21,81,"UT",49,"positiveIncrease",24
2020-03-21,81,"VA",51,"positiveIncrease",38
2020-03-21,81,"VT",50,"positiveIncrease",8
2020-03-21,81,"WA",53,"positiveIncrease",286
2020-03-21,81,"WI",55,"positiveIncrease",80
2020-03-21,81,"WV",54,"positiveIncrease",4
2020-03-21,81,"WY",56,"positiveIncrease",4
2020-03-22,82,"AK",2,"positiveIncrease",8
2020-03-22,82,"AL",1,"positiveIncrease",14
2020-03-22,82,"AR",5,"positiveIncrease",47
2020-03-22,82,"AZ",4,"positiveIncrease",48
2020-03-22,82,"CA",6,"positiveIncrease",257
2020-03-22,82,"CO",8,"positiveIncrease",112
2020-03-22,82,"CT",9,"positiveIncrease",29
2020-03-22,82,"DC",11,"positiveIncrease",21
2020-03-22,82,"DE",10,"positiveIncrease",11
2020-03-22,82,"FL",12,"positiveIncrease",172
2020-03-22,82,"GA",13,"positiveIncrease",93
2020-03-22,82,"GU",66,"positiveIncrease",12
2020-03-22,82,"HI",15,"positiveIncrease",11
2020-03-22,82,"IA",19,"positiveIncrease",22
2020-03-22,82,"ID",16,"positiveIncrease",11
2020-03-22,82,"IL",17,"positiveIncrease",296
2020-03-22,82,"IN",18,"positiveIncrease",75
2020-03-22,82,"KS",20,"positiveIncrease",9
2020-03-22,82,"KY",21,"positiveIncrease",45
2020-03-22,82,"LA",22,"positiveIncrease",257
2020-03-22,82,"MA",25,"positiveIncrease",121
2020-03-22,82,"MD",24,"positiveIncrease",54
2020-03-22,82,"ME",23,"positiveIncrease",16
2020-03-22,82,"MI",26,"positiveIncrease",799
2020-03-22,82,"MN",27,"positiveIncrease",22
2020-03-22,82,"MO",29,"positiveIncrease",17
2020-03-22,82,"MS",28,"positiveIncrease",67
2020-03-22,82,"MT",30,"positiveIncrease",11
2020-03-22,82,"NC",37,"positiveIncrease",71
2020-03-22,82,"ND",38,"positiveIncrease",0
2020-03-22,82,"NE",31,"positiveIncrease",10
2020-03-22,82,"NH",33,"positiveIncrease",10
2020-03-22,82,"NJ",34,"positiveIncrease",587
2020-03-22,82,"NM",35,"positiveIncrease",0
2020-03-22,82,"NV",32,"positiveIncrease",66
2020-03-22,82,"NY",36,"positiveIncrease",4812
2020-03-22,82,"OH",39,"positiveIncrease",104
2020-03-22,82,"OK",40,"positiveIncrease",14
2020-03-22,82,"OR",41,"positiveIncrease",47
2020-03-22,82,"PA",42,"positiveIncrease",108
2020-03-22,82,"PR",72,"positiveIncrease",2
2020-03-22,82,"RI",44,"positiveIncrease",25
2020-03-22,82,"SC",45,"positiveIncrease",43
2020-03-22,82,"SD",46,"positiveIncrease",7
2020-03-22,82,"TN",47,"positiveIncrease",134
2020-03-22,82,"TX",48,"positiveIncrease",30
2020-03-22,82,"UT",49,"positiveIncrease",45
2020-03-22,82,"VA",51,"positiveIncrease",67
2020-03-22,82,"VT",50,"positiveIncrease",24
2020-03-22,82,"WA",53,"positiveIncrease",284
2020-03-22,82,"WI",55,"positiveIncrease",110
2020-03-22,82,"WV",54,"positiveIncrease",1
2020-03-22,82,"WY",56,"positiveIncrease",1
2020-03-23,83,"AK",2,"positiveIncrease",0
2020-03-23,83,"AL",1,"positiveIncrease",29
2020-03-23,83,"AR",5,"positiveIncrease",9
2020-03-23,83,"AZ",4,"positiveIncrease",113
2020-03-23,83,"CA",6,"positiveIncrease",197
2020-03-23,83,"CO",8,"positiveIncrease",116
2020-03-23,83,"CT",9,"positiveIncrease",192
2020-03-23,83,"DC",11,"positiveIncrease",18
2020-03-23,83,"DE",10,"positiveIncrease",12
2020-03-23,83,"FL",12,"positiveIncrease",341
2020-03-23,83,"GA",13,"positiveIncrease",172
2020-03-23,83,"GU",66,"positiveIncrease",2
2020-03-23,83,"HI",15,"positiveIncrease",8
2020-03-23,83,"IA",19,"positiveIncrease",15
2020-03-23,83,"ID",16,"positiveIncrease",5
2020-03-23,83,"IL",17,"positiveIncrease",224
2020-03-23,83,"IN",18,"positiveIncrease",58
2020-03-23,83,"KS",20,"positiveIncrease",18
2020-03-23,83,"KY",21,"positiveIncrease",5
2020-03-23,83,"LA",22,"positiveIncrease",335
2020-03-23,83,"MA",25,"positiveIncrease",131
2020-03-23,83,"MD",24,"positiveIncrease",44
2020-03-23,83,"ME",23,"positiveIncrease",18
2020-03-23,83,"MI",26,"positiveIncrease",1240
2020-03-23,83,"MN",27,"positiveIncrease",44
2020-03-23,83,"MO",29,"positiveIncrease",93
2020-03-23,83,"MS",28,"positiveIncrease",42
2020-03-23,83,"MT",30,"positiveIncrease",3
2020-03-23,83,"NC",37,"positiveIncrease",42
2020-03-23,83,"ND",38,"positiveIncrease",2
2020-03-23,83,"NE",31,"positiveIncrease",2
2020-03-23,83,"NH",33,"positiveIncrease",13
2020-03-23,83,"NJ",34,"positiveIncrease",930
2020-03-23,83,"NM",35,"positiveIncrease",8
2020-03-23,83,"NV",32,"positiveIncrease",55
2020-03-23,83,"NY",36,"positiveIncrease",5707
2020-03-23,83,"OH",39,"positiveIncrease",91
2020-03-23,83,"OK",40,"positiveIncrease",14
2020-03-23,83,"OR",41,"positiveIncrease",30
2020-03-23,83,"PA",42,"positiveIncrease",165
2020-03-23,83,"PR",72,"positiveIncrease",8
2020-03-23,83,"RI",44,"positiveIncrease",16
2020-03-23,83,"SC",45,"positiveIncrease",103
2020-03-23,83,"SD",46,"positiveIncrease",7
2020-03-23,83,"TN",47,"positiveIncrease",110
2020-03-23,83,"TX",48,"positiveIncrease",18
2020-03-23,83,"UT",49,"positiveIncrease",76
2020-03-23,83,"VA",51,"positiveIncrease",35
2020-03-23,83,"VT",50,"positiveIncrease",21
2020-03-23,83,"WA",53,"positiveIncrease",447
2020-03-23,83,"WI",55,"positiveIncrease",41
2020-03-23,83,"WV",54,"positiveIncrease",4
2020-03-23,83,"WY",56,"positiveIncrease",2
2020-03-24,84,"AK",2,"positiveIncrease",14
2020-03-24,84,"AL",1,"positiveIncrease",48
2020-03-24,84,"AR",5,"positiveIncrease",44
2020-03-24,84,"AZ",4,"positiveIncrease",92
2020-03-24,84,"CA",6,"positiveIncrease",369
2020-03-24,84,"CO",8,"positiveIncrease",129
2020-03-24,84,"CT",9,"positiveIncrease",203
2020-03-24,84,"DC",11,"positiveIncrease",21
2020-03-24,84,"DE",10,"positiveIncrease",23
2020-03-24,84,"FL",12,"positiveIncrease",241
2020-03-24,84,"GA",13,"positiveIncrease",254
2020-03-24,84,"GU",66,"positiveIncrease",3
2020-03-24,84,"HI",15,"positiveIncrease",21
2020-03-24,84,"IA",19,"positiveIncrease",19
2020-03-24,84,"ID",16,"positiveIncrease",3
2020-03-24,84,"IL",17,"positiveIncrease",262
