"iter" "GM_NInit.1." "GM_TIsolation.1." "GM_R0.1." "GM_c0.1." "GM_TLatent.1." "GM_TRecover.1." "GM_IFR.1." "GM_TStartTesting.1." "GM_TauTesting.1." "GM_TTestingRate.1." "GM_TContactsTestingRate.1." "GM_TestingCoverage.1." "GM_TestSensitivity.1." "GM_ThetaMin.1." "GM_TauTheta.1." "GM_PwrTheta.1." "GM_HygienePwr.1." "GM_FracTraced.1." "GM_TPosTest.1." "GM_TFatalDeath.1." "GM_TauS.1." "GM_rMax.1." "GM_TauR.1." "alpha_Pos.1." "alpha_Death.1." "LnPrior" "LnData" "LnPosterior"
46100 3100.99 13.6318 4.35297 8.79472 4.74736 5.14544 0.0199363 119.628 13.9591 4.6231 1.35309 0.629606 0.702721 0.388029 16.7756 5.80104 0.569257 0.300449 6.49413 13.1451 31.2704 0.246001 27.1013 15.5446 8.18963 -54.27083 -1119.448 -1173.719
124900 3560.69 10.1274 3.97179 12.9064 3.56052 6.53727 0.0204921 119.494 13.2937 6.2025 2.98091 0.580619 0.898505 0.388437 19.0643 4.94481 0.559294 0.224051 4.60163 11.2059 25.7927 0.277765 26.9073 20.3477 9.08759 -53.6679 -1126.52 -1180.188
114800 4992.65 9.42263 3.31355 11.036 3.68384 6.49583 0.0229114 119.305 13.9375 3.90441 2.90908 0.601086 0.69695 0.412423 17.6574 5.30965 0.260852 0.163972 5.34602 12.5069 28.9713 0.250309 56.2522 16.2183 8.57128 -50.93654 -1123.267 -1174.204
117500 7157.46 9.7211 3.50125 17.1054 3.60671 6.83674 0.0188438 117.203 13.6745 5.92901 1.98851 0.335361 0.744426 0.353995 18.4509 4.42526 0.198649 0.384525 3.19198 11.3489 30.7842 0.251906 51.0183 11.8487 8.26373 -51.20902 -1126.386 -1177.595
171100 4298.23 13.8767 3.86615 9.04394 2.72004 5.87846 0.0212931 118.84 13.1853 6.64215 2.22853 0.526379 0.751244 0.358455 16.345 5.12036 0.429812 0.370739 7.36541 12.7799 26.5857 0.384591 33.3765 20.258 8.59516 -52.61798 -1123.283 -1175.901
118400 2959.63 9.72996 3.51405 10.3042 2.88545 5.18996 0.0164678 120.05 13.6228 5.16779 2.87885 0.525545 0.638037 0.46273 18.293 5.94748 0.649354 0.413251 2.53879 11.685 25.6909 0.488273 36.0915 16.9551 8.55998 -51.91811 -1122.978 -1174.897
40600 4171.36 15.397 4.22405 7.83045 4.68604 6.91955 0.025044 119.085 12.9927 3.85374 1.50897 0.381545 0.770023 0.374897 19.0699 5.2179 0.529157 0.476674 3.08361 10.1414 26.3953 0.461939 39.8241 17.0797 8.14219 -53.64834 -1120.284 -1173.932
107400 3120.49 9.30738 3.5604 15.1061 3.42355 5.1429 0.0146341 113.974 13.1701 6.39428 1.4961 0.506018 0.776903 0.444327 17.5191 4.86988 0.456235 0.0973421 4.56366 11.3406 71.4545 0.257177 27.7815 17.2925 8.48263 -52.34882 -1125.008 -1177.356
129000 4050.59 19.6265 4.04682 14.6722 4.00931 6.80757 0.0206559 125.793 13.9239 4.81828 1.56934 0.689467 0.846402 0.468566 17.7849 4.87783 0.766334 0.200255 2.52156 10.2578 46.943 0.573565 48.9665 14.6442 8.1123 -52.98553 -1131.984 -1184.97
126000 9049.42 12.0912 3.6627 10.6241 3.45442 6.39394 0.0164734 118.769 13.6254 8.21811 1.10802 0.201158 0.675037 0.487932 16.4322 5.81301 0.795554 0.590506 10.9946 10.3623 32.8325 0.511185 38.3411 17.6871 8.18868 -54.76036 -1123.165 -1177.926
126100 6511.93 12.7611 3.53624 8.41263 4.44136 5.66806 0.0149695 118.216 13.8805 6.26803 2.83543 0.4427 0.767468 0.487006 18.063 6.26384 0.712017 0.217884 6.98231 11.5852 61.8803 0.435351 53.6686 13.2016 8.04453 -52.09135 -1128.412 -1180.504
173200 2371.24 12.8035 3.52858 19.2505 2.12924 5.77281 0.0205647 116.136 13.1203 5.45795 2.05281 0.421615 0.748085 0.446595 17.3123 5.0299 0.54496 0.355035 6.14782 11.3945 28.8191 0.435137 25.4071 19.598 8.19863 -52.62307 -1118.328 -1170.951
151600 3549.35 17.9024 4.14701 10.1868 2.5379 6.99687 0.0191434 118.577 13.9732 5.32589 2.77643 0.435652 0.693126 0.47362 16.9113 4.16084 0.89034 0.135279 7.1714 12.3012 43.9974 0.326055 50.2313 15.3874 8.20838 -52.77507 -1126.004 -1178.779
48100 9612.55 11.2289 4.26656 12.1942 4.76643 7.94152 0.0254236 116.868 12.7684 9.75937 1.16867 0.202554 0.795138 0.436391 18.0286 6.16397 0.894824 0.709575 7.93551 8.89151 26.5932 0.616816 35.2607 20.5305 8.30365 -58.48296 -1124.445 -1182.928
115200 1346.37 19.8884 4.43926 9.40887 2.21414 6.34803 0.0214263 117.778 12.7148 6.1755 1.0673 0.439422 0.761138 0.422821 17.4366 5.25148 0.771032 0.465523 6.21347 10.8196 28.5791 0.538775 27.739 18.4862 8.00039 -54.42739 -1116.112 -1170.539
156100 3978.61 18.64 3.97072 13.7571 3.53479 6.74863 0.0176552 118.04 13.3455 3.98998 1.03511 0.248412 0.757207 0.40947 18.8664 4.30746 0.517522 0.397147 4.8375 10.1842 25.8158 0.268146 40.4632 22.051 8.00163 -52.92687 -1122.495 -1175.422
110500 7960.25 15.8089 3.88259 19.8154 3.54944 6.11735 0.0160308 116.058 12.6054 9.60065 1.86216 0.368137 0.777149 0.380106 17.1245 4.96538 0.487185 0.356755 5.08964 11.5882 28.3758 0.298345 32.2491 16.1487 8.11548 -52.18633 -1123.622 -1175.808
102000 1951.54 13.3049 3.96489 12.8624 3.26591 5.20954 0.0187916 116.03 12.3969 6.1322 1.12975 0.401477 0.660557 0.308259 18.8585 5.1235 0.217828 0.561419 4.77382 10.0168 26.5454 0.431255 33.3513 17.4674 8.59025 -51.48919 -1118.392 -1169.881
75600 4220.54 9.423 3.5014 15.4942 4.58411 5.18436 0.0202843 114.203 13.9041 7.21634 1.90862 0.431114 0.649699 0.42553 18.3508 4.73969 0.36405 0.552131 4.28598 10.4165 28.2054 0.546299 50.2932 16.2085 8.33739 -51.33175 -1129.344 -1180.676
129100 2747.19 15.7541 4.15789 14.8381 2.57713 6.64503 0.0178057 115.991 12.3711 8.73264 2.1948 0.560614 0.757432 0.358519 18.8424 4.67718 0.523942 0.304356 5.47199 10.0182 25.2544 0.343217 23.3585 14.6496 8.44303 -51.6606 -1121.637 -1173.297
60800 3863.13 12.7928 3.48483 14.0019 2.65061 5.74342 0.0147006 116.705 12.9187 6.50236 1.42493 0.472124 0.720732 0.465625 18.1249 5.33676 0.716702 0.231125 5.37711 10.5445 25.6913 0.314569 18.3002 20.6354 8.3295 -51.49524 -1125.905 -1177.4
195800 5548.53 10.9728 3.78488 11.0322 4.86794 5.26805 0.0188685 118.751 13.9314 6.41184 1.40206 0.488154 0.77899 0.456037 17.6883 5.75364 0.682858 0.259883 6.67218 12.4231 43.4799 0.333268 54.4948 15.5461 8.06659 -51.27696 -1122.037 -1173.314
198000 4831.76 18.9304 3.99663 13.1249 3.70595 6.73573 0.0222756 121.044 13.4738 5.68342 2.4534 0.721511 0.751212 0.48711 17.1181 4.11998 0.940548 0.297587 6.89243 11.881 28.8992 0.472876 32.2789 16.9478 8.22244 -54.05015 -1121.808 -1175.858
43800 7767.5 12.2482 4.04282 11.2786 3.487 8.26232 0.0197426 120.831 13.9745 8.1715 1.70322 0.703619 0.693696 0.366587 17.8083 6.14314 0.449671 0.218721 7.63285 12.3766 43.483 0.416364 59.6886 18.7974 8.81099 -52.08174 -1124.233 -1176.315
50700 6255.5 13.3609 3.37868 9.91147 2.85775 5.55991 0.0144862 116.08 13.0914 9.42982 1.54606 0.292896 0.643887 0.433694 18.849 2.98255 0.538613 0.458725 4.79644 10.3289 25.7465 0.376454 23.6597 14.564 8.02158 -54.20713 -1120.474 -1174.681
198500 4053.59 8.17448 4.31557 15.7358 3.52026 6.62284 0.0196441 123.292 13.7304 5.86235 1.10935 0.49935 0.735764 0.459417 18.1089 4.75227 0.970838 0.417122 7.11016 12.0692 26.836 0.588935 55.021 19.9138 8.16686 -54.98334 -1121.234 -1176.218
191800 7613.79 7.63037 3.85289 10.6991 4.10849 5.97816 0.0174691 116.576 13.1049 8.25259 1.87703 0.341018 0.691813 0.415527 17.4701 5.99469 0.619133 0.528643 5.53281 11.3091 25.6472 0.484324 51.3001 14.4852 8.00769 -51.2173 -1121.746 -1172.963
