Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_TStartTesting	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_1.1	kappa_1.1	rho_1.1	lambda0_1.1	lambda0_C_1.1	rho0_C_1.1	beta0_1.1	TauTheta_1.1	TauS_1.1	rMax_1.1	TauR_1.1	S_1.1	S_C_1.1	E_1.1	E_C_1.1	I_U_1.1	I_C_1.1	I_T_1.1	R_U_1.1	R_T_1.1	F_T_1.1	ThetaFit_1.1	HygieneFit_1.1	FTraced_1.1	lambda_1.1	lambda_C_1.1	rho_C_1.1	delta_1.1	c_1.1	beta_1.1	Rt_1.1	Refft_1.1	N_pos_1.1	D_pos_1.1	CumPosTest_1.1	CumDeath_1.1
20	3650.04	10.9451	4.46944	13.8872	4.13396	5.1749	0.018076	108.735	12.5911	9.07749	1.42876	0.28468	0.684014	0.275938	18.1683	4.44975	0.203429	0.243595	13.2646	10.6335	52.1635	0.369432	74.6196	0.0913651	0.241899	0.19324	0.0214514	0.478747	0.221161	0.0621923	18.1683	52.1635	0.369432	74.6196	0.822785	0.0071858	0.000416834	0.000134102	0.000463331	4.60134e-05	0.000152232	0.155028	0.0122345	0.00208352	0.275938	0.769564	0.243469	0.0214403	0.478499	0.221047	0.0155927	7.50038	0.0478609	1.26502	1.04084	222.291	16.9096	0.0143381	0.00205803
21	2359.52	18.243	3.19165	16.6153	3.19216	5.39892	0.028768	93.0414	8.18983	10.8219	1.34827	0.738153	0.744339	0.450512	15.9648	3.58706	0.0823918	0.248175	13.7334	8.43725	73.2234	0.566414	69.5085	0.0548155	0.313268	0.185222	0.0507708	0.55207	0.189622	0.0355795	15.9648	73.2234	0.566414	69.5085	0.919748	0.015142	0.000273929	9.04227e-05	0.00034154	3.73004e-05	0.000177115	0.0494569	0.0135382	0.00153691	0.450512	0.936415	0.248175	0.0507707	0.552069	0.189621	0.0167719	11.5633	0.0333172	1.22735	1.12885	247.847	19.1249	0.0150313	0.00151282
22	1366.53	13.1761	3.10955	13.9058	3.24712	5.30067	0.0271479	93.5617	7.9093	10.6298	1.88345	0.646117	0.746923	0.564403	18.1961	3.6799	0.278249	0.334249	7.40121	6.48703	72.3661	0.517775	75.5541	0.075895	0.307965	0.188655	0.0454006	0.396572	0.134369	0.0421862	18.1961	72.3661	0.517775	75.5541	0.927711	0.00972805	0.000152268	7.64481e-05	0.000206516	4.4815e-05	0.000139761	0.0454515	0.0152946	0.00139348	0.564403	0.852864	0.334249	0.0454006	0.396571	0.134369	0.0145646	10.0667	0.0359791	1.03022	0.95575	191.606	15.0538	0.0167562	0.00137982
23	5923.73	20.4239	3.81701	8.98378	5.69127	5.19266	0.0216924	92.0581	8.00277	5.80191	2.13897	0.45347	0.663581	0.463676	16.4776	3.60304	0.692614	0.106041	12.7517	11.4363	75.5296	0.561617	40.861	0.0489622	0.175708	0.19258	0.0518647	0.310234	0.157281	0.0818228	16.4776	75.5296	0.561617	40.861	0.911285	0.00628307	0.000722377	8.56878e-05	0.000498757	3.15243e-05	0.000162394	0.0681288	0.0121865	0.00147547	0.463676	0.58724	0.106041	0.0518646	0.310234	0.157281	0.0175269	6.87156	0.0480496	1.20749	1.10037	225.726	18.0738	0.0135143	0.00144441
24	1128.28	13.2435	3.99795	18.1363	4.49342	5.12435	0.0348553	95.3507	10.2742	4.84945	1.8788	0.743956	0.709926	0.480808	18.2025	3.45814	0.590277	0.0597879	8.69253	10.8538	77.7744	0.516778	34.899	0.0755087	0.222548	0.195147	0.10891	0.377861	0.154393	0.043018	18.2025	77.7744	0.516778	34.899	0.947387	0.00273756	0.000446148	2.83692e-05	0.000312213	1.1559e-05	0.000167991	0.0357964	0.011728	0.00154841	0.480808	0.649046	0.0597864	0.108907	0.377852	0.154389	0.0197524	13.5862	0.0279206	1.173	1.11129	237.612	20.1182	0.0131661	0.00151475
25	4167.68	18.623	4.10753	17.2102	4.08998	7.75535	0.0273044	93.727	6.6605	8.78479	2.32005	0.729083	0.690258	0.432607	16.6239	3.24761	0.504258	0.078747	9.68746	6.67122	76.6783	0.525992	66.6641	0.053697	0.2445	0.128943	0.0572871	0.297519	0.133507	0.0307747	16.6239	76.6783	0.525992	66.6641	0.929577	0.00700168	0.000323703	2.76695e-05	0.000416439	1.54769e-05	0.000205227	0.0484262	0.0131817	0.00143004	0.432607	0.655386	0.078747	0.0572871	0.297519	0.133507	0.011341	11.3514	0.0201693	1.13258	1.05282	195.948	16.5131	0.0145874	0.00141433
26	1161.14	8.07999	4.41298	14.9463	4.36413	5.58807	0.0284691	91.5043	7.86992	10.4707	1.17282	0.690655	0.743116	0.41268	17.6061	3.912	0.353807	0.291227	11.4176	8.96114	73.1559	0.519487	75.2616	0.123763	0.229141	0.178953	0.0490165	0.633615	0.219031	0.0528368	17.6061	73.1559	0.519487	75.2616	0.931376	0.00519686	0.000275478	0.00011319	0.000271973	3.01882e-05	0.000166045	0.0465498	0.0147113	0.00147759	0.41268	0.731141	0.291227	0.0490164	0.633614	0.219031	0.0149691	9.39379	0.0386312	1.12826	1.05084	224	17.4421	0.0162037	0.00145523
27	8348.13	14.1321	3.21145	10.1589	3.62947	6.15085	0.0185411	97.6539	9.47547	7.29048	1.02283	0.463867	0.645731	0.393639	17.2008	3.69803	0.249393	0.0581804	10.1417	10.3865	67.4752	0.55917	73.3153	0.0707609	0.275522	0.162579	0.0410855	0.631318	0.346362	0.0513948	17.2008	67.4752	0.55917	73.3153	0.893654	0.00323034	0.000602558	3.72219e-05	0.000761147	1.0305e-05	0.000201804	0.0892675	0.011857	0.00158922	0.393639	0.792538	0.0581796	0.041085	0.63131	0.346357	0.0144216	6.78607	0.0407324	1.27824	1.1423	239.561	18.9626	0.0133489	0.00156007
28	6599.03	18.5198	3.44124	15.8623	3.15112	5.72487	0.0208049	108.805	13.4531	4.42201	2.1059	0.268435	0.754356	0.376267	16.7488	3.95899	0.299131	0.141757	12.5259	13.025	54.5799	0.416738	47.3456	0.0539963	0.317347	0.174676	0.0457926	0.358211	0.116646	0.0378951	16.7488	54.5799	0.416738	47.3456	0.877148	0.0113992	0.00030663	5.05812e-05	0.000448058	3.40632e-05	0.000176432	0.0986871	0.0109078	0.00179957	0.376267	0.746479	0.141637	0.045754	0.357908	0.116547	0.0137548	10.0916	0.0282879	1.11163	0.975064	231.106	17.4383	0.012622	0.00176728
29	2631.39	13.2171	3.97789	10.1461	3.57936	6.03522	0.0279275	102.943	13.4438	6.98824	2.19615	0.478786	0.779545	0.387481	17.9906	3.44735	0.389417	0.19298	10.2381	12.5364	56.0233	0.558545	67.4388	0.0756596	0.27938	0.165694	0.053409	0.35496	0.100382	0.0649622	17.9906	56.0233	0.558545	67.4388	0.914608	0.00662787	0.000375068	8.96079e-05	0.000449677	5.32288e-05	0.000224403	0.0636004	0.0125906	0.0017624	0.387481	0.691286	0.192875	0.05338	0.354767	0.100328	0.0145018	7.4026	0.0449074	1.22476	1.12018	279.068	20.9956	0.014346	0.0017234
30	1929.27	9.06187	4.19412	16.2191	3.42264	8.05162	0.0383987	91.1175	10.2076	6.1113	2.63379	0.470267	0.811105	0.425482	18.0469	4.15881	0.283369	0.303647	13.8979	10.5803	52.9728	0.408608	52.8482	0.110352	0.292172	0.124199	0.0624149	0.307961	0.0717198	0.0321167	18.0469	52.9728	0.408608	52.8482	0.948412	0.00652719	0.000141451	6.16783e-05	0.000227725	4.81134e-05	0.000224311	0.0295836	0.0136248	0.00142928	0.425482	0.78494	0.303642	0.0624139	0.307956	0.0717187	0.0108194	10.7084	0.0252097	1.00736	0.955391	207.321	17.8538	0.0150736	0.00140278
31	2331.47	9.09136	4.07034	16.2025	4.08848	5.01043	0.0212706	95.6409	10.1574	9.88421	2.40512	0.329288	0.874451	0.36247	17.7597	4.39737	0.327178	0.179653	13.4578	10.227	74.8259	0.375423	50.0965	0.109995	0.24459	0.199584	0.0291319	0.363579	0.0522007	0.0501388	17.7597	74.8259	0.375423	50.0965	0.893584	0.00584031	0.000465819	0.000102008	0.000470788	5.79336e-05	0.00015287	0.0849472	0.0130948	0.00162293	0.36247	0.71747	0.179649	0.0291313	0.36357	0.0521995	0.0176657	9.7514	0.035973	1.2582	1.12431	231.394	17.6847	0.0146969	0.00159625
